Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA
Poland,Ekstraklasa,2020/2021,19/02/2021,17:00,Stal Mielec,Cracovia,0,0,D,3.24,3.14,2.5,3.24,3.3,2.58,2.99,3.04,2.45
Poland,Ekstraklasa,2020/2021,19/02/2021,19:30,Wisla,Pogon Szczecin,2,1,H,2.83,3.25,2.73,2.88,3.34,2.73,2.69,3.13,2.63
Poland,Ekstraklasa,2020/2021,20/02/2021,14:00,Legia,Wisla Plock,5,2,H,1.66,3.65,6.47,1.73,3.78,6.47,1.63,3.52,5.79
Poland,Ekstraklasa,2020/2021,20/02/2021,16:30,Podbeskidzie,Jagiellonia,1,1,D,2.38,3.38,3.21,2.55,3.5,3.22,2.32,3.28,3.0
Poland,Ekstraklasa,2020/2021,20/02/2021,19:00,Lechia Gdansk,Gornik Z.,2,0,H,2.58,3.31,2.96,2.66,3.31,3.0,2.49,3.16,2.84
Poland,Ekstraklasa,2020/2021,21/02/2021,14:00,Zaglebie,Rakow,1,2,A,4.09,3.6,1.97,4.22,3.62,2.02,3.75,3.45,1.95
Poland,Ekstraklasa,2020/2021,21/02/2021,16:30,Lech Poznan,Slask Wroclaw,1,0,H,1.63,4.03,5.93,1.68,4.2,5.93,1.59,4.0,5.32
Poland,Ekstraklasa,2020/2021,22/02/2021,17:00,Piast Gliwice,Warta Poznan,0,1,A,1.82,3.34,5.53,1.86,3.4,5.53,1.77,3.25,5.08
Poland,Ekstraklasa,2020/2021,26/02/2021,17:00,Rakow,Podbeskidzie,1,0,H,1.57,4.02,6.92,1.6,4.33,6.92,1.54,3.92,6.03
Poland,Ekstraklasa,2020/2021,26/02/2021,19:30,Warta Poznan,Lech Poznan,1,2,A,4.87,3.66,1.81,5.0,3.7,1.94,4.45,3.44,1.8
Poland,Ekstraklasa,2020/2021,27/02/2021,14:00,Stal Mielec,Lechia Gdansk,0,1,A,3.2,3.28,2.44,3.2,3.3,2.54,3.02,3.16,2.38
Poland,Ekstraklasa,2020/2021,27/02/2021,16:30,Jagiellonia,Piast Gliwice,0,1,A,3.88,3.53,2.05,4.05,3.53,2.63,3.64,3.33,2.03
Poland,Ekstraklasa,2020/2021,27/02/2021,19:00,Gornik Z.,Legia,1,2,A,4.3,3.53,1.95,4.53,3.58,1.98,4.02,3.4,1.9
Poland,Ekstraklasa,2020/2021,28/02/2021,11:30,Wisla Plock,Wisla,1,3,A,2.57,3.42,2.89,2.77,3.42,2.94,2.52,3.24,2.75
Poland,Ekstraklasa,2020/2021,28/02/2021,14:00,Cracovia,Zaglebie,2,4,A,2.47,3.16,3.26,2.54,3.3,3.3,2.36,3.1,3.09
Poland,Ekstraklasa,2020/2021,28/02/2021,16:30,Slask Wroclaw,Pogon Szczecin,2,1,H,4.16,3.37,2.03,4.17,3.5,2.63,3.74,3.23,2.03
Poland,Ekstraklasa,2020/2021,04/03/2021,19:30,Stal Mielec,Wisla Plock,2,2,D,2.74,2.92,3.13,2.8,3.05,3.22,2.65,2.83,2.96
Poland,Ekstraklasa,2020/2021,05/03/2021,19:30,Wisla,Gornik Z.,0,0,D,2.38,3.48,3.12,2.39,3.59,3.23,2.3,3.35,2.99
Poland,Ekstraklasa,2020/2021,06/03/2021,14:00,Podbeskidzie,Lechia Gdansk,2,2,D,2.69,3.29,2.85,2.72,3.3,2.95,2.65,3.14,2.69
Poland,Ekstraklasa,2020/2021,06/03/2021,16:30,Zaglebie,Jagiellonia,3,0,H,1.72,4.06,4.89,1.84,4.06,5.21,1.68,3.83,4.68
