Season,Date,PSCH,PSCD,PSCA
2013/14,29/09/2013,2.53,3.05,3.31
2013/14,29/09/2013,1.42,4.54,9.7
2013/14,30/09/2013,1.78,3.67,5.2
2013/14,30/09/2013,1.72,3.63,5.89
2013/14,04/10/2013,1.92,3.5,4.57
2013/14,04/10/2013,1.85,3.56,4.93
2013/14,05/10/2013,1.91,3.48,4.66
2013/14,05/10/2013,2.15,3.23,3.99
2013/14,05/10/2013,5.46,3.71,1.75
2013/14,06/10/2013,3.6,3.32,2.24
2013/14,06/10/2013,4.01,3.05,2.22
2013/14,07/10/2013,2.2,3.42,3.57
2013/14,18/10/2013,2.39,3.27,3.33
2013/14,18/10/2013,2.08,3.57,3.78
2013/14,19/10/2013,2.86,3.07,2.86
2013/14,19/10/2013,1.86,3.55,4.86
2013/14,19/10/2013,3.69,3.1,2.31
2013/14,20/10/2013,1.76,3.61,5.58
2013/14,20/10/2013,1.39,5.26,8.62
2013/14,21/10/2013,2.69,3.11,3.01
2013/14,24/10/2013,2.98,3.33,2.57
2013/14,25/10/2013,3.19,3.26,2.47
2013/14,25/10/2013,3.06,3.48,2.43
2013/14,26/10/2013,1.94,3.6,4.31
2013/14,26/10/2013,2.63,3.3,2.94
2013/14,26/10/2013,1.93,3.34,4.84
2013/14,27/10/2013,1.85,3.57,4.9
2013/14,27/10/2013,2.64,3.01,3.23
2013/14,28/10/2013,2.13,3.42,3.79
2013/14,29/10/2013,2.28,3.35,3.49
2013/14,29/10/2013,1.58,4.11,6.7
2013/14,30/10/2013,2.2,3.38,3.63
2013/14,30/10/2013,2.32,3.21,3.54
2013/14,30/10/2013,4.71,3.56,1.88
2013/14,31/10/2013,1.56,4.11,7.03
2013/14,31/10/2013,4.07,3.39,2.06
2013/14,02/11/2013,1.72,3.71,5.78
2013/14,02/11/2013,4.41,3.27,2.03
2013/14,02/11/2013,1.46,4.65,8.05
2013/14,03/11/2013,2.75,3.08,2.95
2013/14,03/11/2013,1.9,3.46,4.77
2013/14,04/11/2013,2.54,3.22,3.11
2013/14,04/11/2013,3.95,3.39,2.1
2013/14,05/11/2013,2.33,3.31,3.4
2013/14,08/11/2013,2.21,3.27,3.77
2013/14,08/11/2013,2.05,3.52,3.95
2013/14,09/11/2013,3.07,3.17,2.6
2013/14,09/11/2013,3.46,3.1,2.42
2013/14,09/11/2013,1.65,4.07,5.81
2013/14,10/11/2013,1.64,4.17,5.73
2013/14,10/11/2013,7.91,4.42,1.49
2013/14,11/11/2013,2.04,3.21,4.48
2013/14,22/11/2013,1.9,3.45,4.67
2013/14,22/11/2013,1.82,3.35,4.49
2013/14,23/11/2013,1.66,3.84,6.13
2013/14,23/11/2013,2.72,3.12,2.95
2013/14,23/11/2013,1.53,4.36,7.07
2013/14,24/11/2013,2.09,3.12,3.66
2013/14,24/11/2013,1.56,4.28,6.68
2013/14,25/11/2013,3.37,3.28,2.36
2013/14,28/11/2013,2.24,3.29,3.64
2013/14,29/11/2013,2.7,3.37,2.78
2013/14,29/11/2013,2.29,3.25,3.56
2013/14,30/11/2013,1.73,3.82,5.4
2013/14,30/11/2013,3.12,3.23,2.53
2013/14,30/11/2013,1.5,4.2,8.19
2013/14,01/12/2013,2.5,3.27,3.12
2013/14,01/12/2013,6.77,3.85,1.51
2013/14,02/12/2013,2.88,3.05,2.88
2013/14,02/12/2013,1.83,3.57,5.08
2013/14,03/12/2013,1.47,4.48,8.23
2013/14,03/12/2013,1.96,3.47,4.41
2013/14,03/12/2013,4.06,3.47,2.04
2013/14,04/12/2013,2.09,3.11,4.29
2013/14,04/12/2013,1.4,4.19,8.56
2013/14,05/12/2013,1.84,3.2,4.62
2013/14,06/12/2013,2.39,3.17,3.41
2013/14,06/12/2013,1.85,3.61,4.83
2013/14,07/12/2013,4.38,3.48,1.96
2013/14,07/12/2013,2.37,3.3,3.33
2013/14,07/12/2013,2.71,3.16,2.95
2013/14,08/12/2013,3.1,3.36,2.48
2013/14,08/12/2013,4.72,3.51,1.89
2013/14,09/12/2013,2.15,3.43,3.7
2013/14,13/12/2013,1.6,4.11,6.43
2013/14,13/12/2013,2.85,3.04,2.87
2013/14,14/12/2013,1.96,3.52,4.33
2013/14,14/12/2013,1.72,3.92,5.34
2013/14,14/12/2013,2.2,3.19,3.88
2013/14,15/12/2013,2.28,2.91,3.45
2013/14,15/12/2013,1.6,4.15,6.35
2013/14,16/12/2013,2.05,3.28,4.21
2013/14,14/02/2014,2.09,3.33,4.07
2013/14,14/02/2014,1.4,4.85,9.57
2013/14,15/02/2014,2.51,3.37,3.03
2013/14,15/02/2014,2.16,3.34,3.81
2013/14,16/02/2014,2.2,3.28,3.75
2013/14,16/02/2014,2.47,3.14,3.29
2013/14,16/02/2014,1.78,3.65,5.27
2013/14,17/02/2014,3.34,3.2,2.39
2013/14,21/02/2014,1.74,3.6,5.85
2013/14,21/02/2014,3.34,3.1,2.47
2013/14,22/02/2014,2.98,3.28,2.6
2013/14,22/02/2014,3.99,3.51,2.04
2013/14,23/02/2014,2.37,3.28,3.35
2013/14,23/02/2014,1.9,3.49,4.73
2013/14,23/02/2014,2.1,3.38,3.95
2013/14,24/02/2014,2.22,3.35,3.62
2013/14,28/02/2014,1.62,3.84,6.84
2013/14,28/02/2014,2.83,3.02,2.93
2013/14,01/03/2014,2.23,3.43,3.51
2013/14,01/03/2014,1.57,4.07,7.08
2013/14,02/03/2014,2.76,3.34,2.76
2013/14,02/03/2014,2.26,3.29,3.61
2013/14,02/03/2014,1.58,4.23,6.37
2013/14,03/03/2014,2.81,3.19,2.81
2013/14,07/03/2014,2.37,3.18,3.47
2013/14,07/03/2014,2.17,3.41,3.68
2013/14,08/03/2014,2.32,3.3,3.44
2013/14,08/03/2014,2.22,3.34,3.65
2013/14,09/03/2014,1.86,3.77,4.5
2013/14,09/03/2014,2.09,3.35,4.01
2013/14,09/03/2014,3.66,3.45,2.16
2013/14,10/03/2014,6.88,4.13,1.57
2013/14,14/03/2014,2.42,3.31,3.22
2013/14,14/03/2014,1.36,5.38,9.48
2013/14,15/03/2014,1.52,4.25,7.73
2013/14,15/03/2014,2.69,3.13,3.0
2013/14,16/03/2014,1.6,3.92,6.84
2013/14,16/03/2014,2.43,3.35,3.17
2013/14,16/03/2014,2.02,3.43,4.14
2013/14,17/03/2014,2.59,2.95,3.33
2013/14,21/03/2014,4.15,3.09,2.17
2013/14,21/03/2014,2.49,3.23,3.18
