Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,WHH,WHD,WHA,Season,HomeValue,AwayValue,VCH,VCD,VCA
B1,21/09/2005,Louvieroise,Genk,2.0,3.0,A,0.0,1.0,2.5,3.2,2.4,2.75,3.2,2.3,2.9,3.0,2.2,3.0,3.2,2.1,2.9,3.1,2.2,2005/6,€11.80m,€35.15m,2.6,3.4,2.25
B1,21/09/2005,Waregem,Mouscron,4.0,1.0,H,2.0,0.0,1.83,3.4,3.5,1.8,3.25,4.0,1.8,3.1,3.8,1.83,3.25,3.6,1.75,3.45,3.8,2005/6,€10.88m,€14.65m,1.75,3.4,4.0
B1,21/09/2005,Westerlo,Lierse,0.0,0.0,D,0.0,0.0,1.83,3.4,3.5,1.8,3.3,3.9,1.75,3.2,4.0,1.8,3.25,3.75,1.7,3.45,4.0,2005/6,€17.55m,€16.65m,1.75,3.4,4.0
B1,24/09/2005,Beveren,Charleroi,1.0,1.0,D,0.0,0.0,2.37,3.25,2.5,2.5,3.2,2.5,2.3,3.1,2.6,2.25,3.2,2.75,2.3,3.2,2.65,2005/6,€16.75m,€15.10m,2.25,3.4,2.6
B1,24/09/2005,Club Brugge,Lokeren,0.0,1.0,A,0.0,1.0,1.25,4.5,10.0,1.25,4.7,10.0,1.27,4.3,8.5,1.36,4.0,7.0,1.25,5.0,8.0,2005/6,€50.60m,€23.40m,1.3,4.5,8.0
B1,24/09/2005,FC Brussels,Waregem,1.0,1.0,D,0.0,0.0,2.2,3.25,2.75,2.25,3.3,2.75,2.2,3.1,2.8,2.25,3.2,2.75,2.25,3.2,2.75,2005/6,€14.25m,€10.88m,2.25,3.4,2.6
B1,24/09/2005,Genk,Cercle Brugge,3.0,1.0,H,1.0,1.0,1.44,3.75,6.5,1.45,3.6,6.8,1.45,3.8,5.4,1.4,3.75,7.0,1.4,4.0,6.2,2005/6,€35.15m,€12.00m,1.45,3.75,6.0
B1,24/09/2005,Mouscron,Louvieroise,2.0,1.0,H,2.0,1.0,2.2,3.25,2.75,2.15,3.2,3.0,2.1,3.1,3.0,2.0,3.2,3.2,2.05,3.25,3.0,2005/6,€14.65m,€11.80m,2.2,3.25,2.8
B1,24/09/2005,St Truiden,Westerlo,0.0,1.0,A,0.0,1.0,2.2,3.25,2.75,2.2,3.3,2.8,2.3,3.1,2.6,2.25,3.2,2.75,2.25,3.2,2.75,2005/6,€13.90m,€17.55m,2.3,3.25,2.65
B1,25/09/2005,Germinal,Standard,2.0,2.0,D,2.0,1.0,5.0,3.5,1.57,4.5,3.5,1.65,4.4,3.3,1.65,4.5,3.25,1.66,4.5,3.6,1.6,2005/6,€23.18m,€52.10m,5.0,4.0,1.5
B1,25/09/2005,Lierse,Anderlecht,0.0,0.0,D,0.0,0.0,5.0,3.25,1.61,4.5,3.5,1.65,4.4,3.3,1.65,4.5,3.5,1.61,5.0,3.5,1.57,2005/6,€16.65m,€71.95m,4.5,3.6,1.6
B1,25/09/2005,Roeselare,Gent,1.0,1.0,D,0.0,0.0,2.5,3.25,2.37,2.55,3.4,2.35,2.6,3.1,2.3,2.75,3.2,2.25,2.75,3.2,2.25,2005/6,€9.28m,€22.35m,2.6,3.4,2.25
B1,30/09/2005,Charleroi,Club Brugge,3.0,3.0,D,2.0,1.0,3.75,3.25,1.83,3.8,3.25,1.85,3.6,3.1,1.85,3.4,3.25,1.9,3.5,3.2,1.9,2005/6,€15.10m,€50.60m,3.6,3.4,1.8
B1,01/10/2005,Anderlecht,St Truiden,3.0,0.0,H,0.0,0.0,1.2,5.5,10.0,1.2,5.5,10.5,1.15,6.0,12.0,1.2,5.0,11.0,1.2,5.0,11.0,2005/6,€71.95m,€13.90m,1.15,6.0,11.0
B1,01/10/2005,Gent,Lierse,1.0,1.0,D,0.0,0.0,1.61,3.4,5.0,1.6,3.4,5.25,1.6,3.4,4.6,1.61,3.25,5.0,1.6,3.5,4.6,2005/6,€22.35m,€16.65m,1.65,3.4,4.35
B1,01/10/2005,Louvieroise,FC Brussels,0.0,3.0,A,0.0,1.0,2.1,3.25,3.0,2.15,3.1,3.1,2.2,3.1,2.8,2.0,3.2,3.2,2.1,3.2,3.0,2005/6,€11.80m,€14.25m,2.1,3.4,2.9
