Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,LBH,LBD,LBA,VCH,VCD,VCA,PSCH,PSCD,PSCA
E0,27/09/2004,Charlton,Blackburn,1.0,0.0,H,0.0,0.0,D,S Dunn,6.0,12.0,3.0,7.0,18.0,14.0,6.0,10.0,1.0,1.0,0.0,0.0,2.1,3.25,3.4,1.9,3.25,3.75,2.1,3.2,3.45,1.91,3.2,3.5,,,,,,
E0,02/10/2004,Arsenal,Charlton,4.0,0.0,H,1.0,0.0,H,M Dean,15.0,4.0,9.0,0.0,13.0,15.0,6.0,1.0,3.0,1.0,0.0,0.0,1.28,5.0,10.0,1.2,5.5,11.5,1.27,5.25,10.0,1.2,5.0,11.0,,,,,,
E0,02/10/2004,Blackburn,Aston Villa,2.0,2.0,D,1.0,1.0,D,P Walton,13.0,15.0,7.0,9.0,14.0,17.0,5.0,8.0,2.0,2.0,0.0,0.0,2.37,3.25,2.87,2.45,3.1,2.7,2.4,3.15,2.9,2.38,3.2,2.6,,,,,,
E0,02/10/2004,Everton,Tottenham,0.0,1.0,A,0.0,0.0,D,G Poll,10.0,8.0,4.0,2.0,9.0,13.0,11.0,2.0,1.0,2.0,0.0,0.0,2.25,3.2,3.1,2.5,3.15,2.6,2.3,3.2,3.0,2.1,3.2,3.0,,,,,,
E0,02/10/2004,Norwich,Portsmouth,2.0,2.0,D,0.0,1.0,A,M Messias,17.0,13.0,9.0,5.0,13.0,7.0,8.0,2.0,1.0,4.0,0.0,0.0,2.37,3.25,2.87,2.25,3.1,3.0,2.4,3.15,2.9,2.38,3.0,2.75,,,,,,
E0,02/10/2004,Southampton,Man City,0.0,0.0,D,0.0,0.0,D,U Rennie,16.0,21.0,11.0,11.0,13.0,11.0,6.0,14.0,0.0,0.0,0.0,0.0,2.37,3.25,2.87,2.25,3.1,3.0,2.35,3.15,2.95,2.25,3.2,2.75,,,,,,
E0,02/10/2004,West Brom,Bolton,2.0,1.0,H,0.0,0.0,D,M Clattenburg,13.0,16.0,7.0,7.0,18.0,15.0,6.0,5.0,0.0,0.0,0.0,0.0,2.75,3.2,2.5,2.7,3.1,2.45,2.7,3.15,2.55,2.75,3.2,2.25,,,,,,
E0,03/10/2004,Birmingham,Newcastle,2.0,2.0,D,1.0,1.0,D,H Webb,10.0,6.0,6.0,3.0,17.0,14.0,6.0,5.0,3.0,2.0,0.0,0.0,2.62,3.2,2.6,2.7,3.2,2.4,2.75,3.2,2.5,2.5,3.2,2.5,,,,,,
E0,03/10/2004,Chelsea,Liverpool,1.0,0.0,H,0.0,0.0,D,P Dowd,13.0,5.0,5.0,3.0,14.0,20.0,11.0,2.0,0.0,1.0,0.0,0.0,1.8,3.1,5.0,1.8,3.2,4.3,1.8,3.3,4.5,1.67,3.25,4.5,,,,,,
E0,03/10/2004,Man United,Middlesbrough,1.0,1.0,D,0.0,1.0,A,R Styles,22.0,13.0,10.0,9.0,8.0,13.0,10.0,2.0,1.0,3.0,0.0,0.0,1.4,4.0,9.0,1.4,4.0,7.25,1.4,4.0,9.0,1.36,3.75,8.0,,,,,,
E0,04/10/2004,Crystal Palace,Fulham,2.0,0.0,H,0.0,0.0,D,M Riley,20.0,8.0,10.0,5.0,10.0,10.0,10.0,3.0,1.0,1.0,0.0,1.0,2.62,3.2,2.6,2.6,3.1,2.55,2.7,3.15,2.55,2.75,3.2,2.25,,,,,,
E0,16/10/2004,Arsenal,Aston Villa,3.0,1.0,H,2.0,1.0,H,G Poll,18.0,5.0,15.0,2.0,11.0,22.0,6.0,3.0,2.0,4.0,0.0,0.0,1.3,5.0,9.5,1.3,4.5,9.0,1.3,4.5,11.0,1.25,4.5,10.0,,,,,,
E0,16/10/2004,Birmingham,Man United,0.0,0.0,D,0.0,0.0,D,M Halsey,14.0,12.0,6.0,7.0,16.0,11.0,3.0,3.0,1.0,0.0,0.0,0.0,5.5,3.2,1.72,4.3,3.35,1.75,4.5,3.3,1.8,4.33,3.2,1.73,,,,,,
E0,16/10/2004,Blackburn,Middlesbrough,0.0,4.0,A,0.0,0.0,D,M Riley,12.0,16.0,5.0,10.0,12.0,14.0,2.0,10.0,2.0,1.0,1.0,0.0,2.5,3.2,2.75,2.4,3.1,2.75,2.55,3.25,2.6,2.38,3.2,2.6,,,,,,
E0,16/10/2004,Bolton,Crystal Palace,1.0,0.0,H,1.0,0.0,H,N Barry,21.0,7.0,7.0,2.0,19.0,14.0,7.0,3.0,1.0,1.0,0.0,0.0,1.61,3.6,5.5,1.55,3.45,6.0,1.63,3.4,6.0,1.57,3.5,5.0,,,,,,
E0,16/10/2004,Everton,Southampton,1.0,0.0,H,0.0,0.0,D,B Knight,14.0,8.0,5.0,4.0,5.0,14.0,5.0,6.0,0.0,0.0,0.0,0.0,1.72,3.4,5.0,1.8,3.2,4.3,1.75,3.3,4.85,1.73,3.2,4.33,,,,,,
E0,16/10/2004,Fulham,Liverpool,2.0,4.0,A,2.0,0.0,H,S Bennett,5.0,10.0,3.0,3.0,12.0,14.0,3.0,6.0,1.0,3.0,0.0,1.0,3.4,3.25,2.1,3.2,3.2,2.1,3.25,3.25,2.15,3.0,3.2,2.1,,,,,,
E0,16/10/2004,Man City,Chelsea,1.0,0.0,H,1.0,0.0,H,H Webb,4.0,9.0,1.0,3.0,6.0,7.0,0.0,12.0,1.0,2.0,0.0,0.0,5.5,3.2,1.72,4.5,3.25,1.75,4.7,3.25,1.77,4.5,3.5,1.62,,,,,,
E0,16/10/2004,West Brom,Norwich,0.0,0.0,D,0.0,0.0,D,P Crossley,9.0,12.0,2.0,5.0,13.0,21.0,2.0,3.0,2.0,2.0,0.0,0.0,2.1,3.25,3.4,2.05,3.05,3.5,2.15,3.25,3.3,2.1,3.2,3.0,,,,,,
