Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,LBH,LBD,LBA,Season,HomeValue,AwayValue,HS,AS,HST,AST,HY,AY,HR,AR,VCH,VCD,VCA,HC,AC,HF,AF,PSCH,PSCD,PSCA
F1,28/09/2012,Stade Rennais FC,Lille,2.0,0.0,H,0.0,0.0,D,2.5,3.1,2.9,2.6,3.1,2.75,2.6,3.1,2.75,2.8,3.1,2.6,2012/13,€97.80m,€114.60m,9.0,9.0,4.0,2.0,1.0,2.0,0.0,0.0,2.6,3.12,3.1,3.0,5.0,17.0,14.0,2.68,3.18,3.0
F1,29/09/2012,Ajaccio,Brest,1.0,0.0,H,0.0,0.0,D,1.91,3.2,4.33,1.9,3.1,4.5,1.9,3.1,4.5,1.91,3.25,4.33,2012/13,€34.10m,€36.10m,12.0,11.0,5.0,1.0,1.0,2.0,0.0,0.0,1.92,3.25,4.8,7.0,2.0,14.0,16.0,1.79,3.42,5.95
F1,29/09/2012,Evian Thonon Gaillard,Lorient,1.0,1.0,D,1.0,0.0,H,2.5,3.1,2.9,2.5,3.1,2.85,2.5,3.1,2.85,2.5,3.0,3.0,2012/13,€34.55m,€63.75m,13.0,11.0,7.0,3.0,5.0,1.0,0.0,0.0,2.62,3.12,3.0,5.0,9.0,22.0,10.0,2.48,3.29,3.2
F1,29/09/2012,Nancy,Montpellier,0.0,2.0,A,0.0,0.0,D,3.2,3.0,2.4,3.1,3.1,2.55,3.1,3.1,2.55,3.2,3.1,2.3,2012/13,€36.85m,€78.70m,10.0,12.0,3.0,4.0,1.0,2.0,0.0,0.0,3.25,3.0,2.5,6.0,3.0,15.0,12.0,3.19,3.13,2.58
F1,29/09/2012,Nice,Bastia,2.0,2.0,D,1.0,1.0,D,2.2,3.0,3.6,2.15,3.2,3.4,2.15,3.2,3.4,2.2,3.2,3.4,2012/13,€59.15m,€36.05m,12.0,8.0,2.0,2.0,5.0,3.0,0.0,0.0,2.2,3.3,3.7,2.0,4.0,19.0,14.0,2.4,3.23,3.41
F1,29/09/2012,Paris SG,Sochaux,2.0,0.0,H,2.0,0.0,H,1.2,6.0,15.0,1.2,5.75,15.5,1.2,5.75,15.5,1.2,6.0,15.0,2012/13,€313.60m,€46.85m,9.0,11.0,4.0,3.0,1.0,2.0,0.0,0.0,1.22,6.5,17.0,0.0,6.0,7.0,9.0,1.18,7.6,23.7
F1,29/09/2012,Troyes,Toulouse,0.0,2.0,A,0.0,0.0,D,3.0,3.0,2.5,3.2,3.1,2.3,3.2,3.1,2.3,3.2,3.0,2.38,2012/13,€21.80m,€82.00m,8.0,16.0,1.0,7.0,1.0,0.0,0.0,0.0,3.2,3.1,2.55,7.0,6.0,17.0,12.0,3.37,3.12,2.48
F1,30/09/2012,Lyon,Bordeaux,0.0,2.0,A,0.0,0.0,D,2.0,3.2,4.0,2.05,3.3,4.0,2.05,3.3,4.0,1.95,3.25,4.0,2012/13,€155.65m,€80.95m,23.0,5.0,6.0,4.0,1.0,2.0,0.0,0.0,2.1,3.25,4.1,11.0,2.0,15.0,16.0,2.06,3.54,3.96
F1,30/09/2012,St Etienne,Reims,0.0,0.0,D,0.0,0.0,D,1.62,3.6,6.0,1.65,3.6,5.25,1.65,3.6,5.25,1.67,3.6,5.0,2012/13,€97.60m,€29.50m,19.0,3.0,5.0,1.0,0.0,3.0,0.0,0.0,1.65,3.75,6.5,8.0,2.0,13.0,15.0,1.57,4.12,7.02
F1,30/09/2012,Valenciennes,Marseille,4.0,1.0,H,3.0,0.0,H,3.3,3.1,2.3,3.5,3.2,2.25,3.5,3.2,2.25,3.5,3.1,2.2,2012/13,€49.75m,€150.65m,15.0,11.0,6.0,3.0,1.0,3.0,0.0,0.0,3.4,3.12,2.38,3.0,6.0,12.0,13.0,3.35,3.23,2.44
F1,05/10/2012,St Etienne,Nancy,4.0,0.0,H,4.0,0.0,H,1.62,3.5,6.5,1.7,3.6,5.75,1.7,3.6,5.75,1.62,3.5,6.0,2012/13,€97.60m,€36.85m,23.0,11.0,10.0,4.0,1.0,0.0,0.0,1.0,1.65,3.7,6.5,7.0,7.0,12.0,12.0,1.57,4.01,7.53
F1,06/10/2012,Bastia,Troyes,3.0,2.0,H,2.0,1.0,H,1.75,3.4,5.0,1.72,3.6,4.75,1.72,3.6,4.75,1.75,3.4,5.0,2012/13,€36.05m,€21.80m,23.0,11.0,6.0,4.0,2.0,0.0,0.0,2.0,1.75,3.6,5.4,6.0,2.0,12.0,15.0,1.61,3.98,6.82
F1,06/10/2012,Lille,Ajaccio,2.0,0.0,H,1.0,0.0,H,1.4,4.33,8.5,1.44,4.4,8.5,1.44,4.4,8.5,1.44,4.0,8.0,2012/13,€114.60m,€34.10m,15.0,10.0,4.0,2.0,2.0,1.0,0.0,0.0,1.45,4.5,8.5,3.0,2.0,18.0,14.0,1.48,4.4,8.65
