Club,2024/25,2023/24,2022/23,2021/22,2020/21,2019/20,2018/19,2017/18,2016/17,2015/16,2014/15,2013/14,2012/13,2011/12,2010/11,2009/10,2008/9,2007/8,2006/7,2005/6,2004/5
Portsmouth FC,,,,,,,,,,,,,,,,€96.65m,€152.60m,€141.30m,€97.08m,€86.13m,€64.00m
Charlton Athletic,,,,,,,,,,,,,,,,,,,€71.47m,€82.43m,€57.80m
Reading FC,,,,,,,,,,,,,€46.25m,,,,,€65.93m,€32.88m,,
Real Madrid,€1.36bn,€1.14bn,€923.45m,€770.75m,€787.30m,€913.75m,€896.10m,€955.35m,€802.90m,€714.30m,€787.80m,€636.80m,€582.40m,€539.20m,€519.00m,€451.70m,€428.60m,€355.80m,€372.20m,€281.60m,€303.70m
FC Barcelona,€946.00m,€916.20m,€836.80m,€735.60m,€813.50m,€930.28m,€1.16bn,€1.09bn,€765.30m,€726.00m,€603.80m,€592.20m,€586.60m,€618.20m,€604.70m,€515.40m,€425.40m,€413.70m,€366.50m,€327.50m,€273.03m
Atlético de Madrid,€511.00m,€458.45m,€534.30m,€661.80m,€773.10m,€720.15m,€969.70m,€711.15m,€515.80m,€418.50m,€356.00m,€308.80m,€267.00m,€210.00m,€187.00m,€210.80m,€221.40m,€211.70m,€174.00m,€134.15m,€125.65m
Real Sociedad,€443.70m,€498.50m,€441.70m,€376.95m,€406.60m,€347.55m,€300.95m,€232.95m,€156.45m,€119.40m,€96.80m,€136.70m,€112.80m,€74.70m,€66.70m,,,,€45.20m,€53.83m,€53.55m
Athletic Bilbao,€338.70m,€295.65m,€222.45m,€226.05m,€204.15m,€211.75m,€234.25m,€249.40m,€172.60m,€148.00m,€112.10m,€130.70m,€119.85m,€144.20m,€112.00m,€100.80m,€77.60m,€75.00m,€54.90m,€47.23m,€53.05m
Valencia CF,€253.00m,€244.73m,€249.78m,€310.60m,€278.85m,€427.80m,€499.65m,€398.05m,€257.50m,€254.00m,€230.00m,€178.80m,€172.90m,€181.00m,€176.60m,€240.00m,€227.50m,€236.50m,€232.70m,€213.55m,€195.90m
Villarreal CF,€230.70m,€252.50m,€363.50m,€408.90m,€292.60m,€208.68m,€230.65m,€220.00m,€190.70m,€140.60m,€132.70m,€77.30m,,€137.00m,€170.60m,€163.70m,€170.00m,€149.30m,€109.05m,€82.00m,€66.25m
Girona FC,€216.50m,€297.90m,€139.90m,,,,€97.25m,€81.75m,,,,,,,,,,,,,
Real Betis Balompié,€192.40m,€224.88m,€246.40m,€259.00m,€207.70m,€244.35m,€290.75m,€132.25m,€84.20m,€56.40m,,€58.60m,€66.20m,€52.70m,,,€118.70m,€81.10m,€78.93m,€85.95m,€85.15m
Sevilla FC,€174.10m,€228.75m,€232.58m,€385.00m,€418.25m,€294.75m,€306.30m,€253.20m,€270.10m,€230.30m,€166.75m,€141.15m,€144.80m,€133.00m,€175.60m,€218.30m,€202.70m,€199.40m,€139.80m,€96.85m,€70.55m
UD Las Palmas,€112.60m,€112.40m,,,,,,€91.25m,€84.30m,€32.20m,,,,,,,,,,,
CA Osasuna,€112.40m,€105.35m,€150.05m,€108.45m,€96.75m,€62.78m,,,€42.90m,,,€42.30m,€46.40m,€44.40m,€57.90m,€60.00m,€67.10m,€81.90m,€71.35m,€40.70m,€26.70m
RCD Mallorca,€89.70m,€87.70m,€107.00m,€74.15m,,€64.68m,,,,,,,€47.10m,€62.20m,€53.70m,€65.10m,€68.90m,€79.60m,€55.30m,€42.15m,€42.65m
Deportivo Alavés,€87.70m,€123.70m,,€65.35m,€79.80m,€106.75m,€110.80m,€74.80m,€85.40m,,,,,,,,,,,€34.83m,
Celta de Vigo,€86.60m,€149.30m,€138.80m,€120.00m,€155.85m,€167.00m,€234.10m,€173.05m,€122.40m,€91.10m,€60.40m,€49.90m,€49.10m,,,,,,€54.88m,€48.30m,
RCD Espanyol Barcelona,€79.30m,,€116.50m,€131.60m,,€156.05m,€174.70m,€97.80m,€80.80m,€62.20m,€75.70m,€51.30m,€64.10m,€81.20m,€78.40m,€71.00m,€95.30m,€120.50m,€62.15m,€58.98m,€45.15m
Getafe CF,€74.00m,€133.00m,€118.90m,€208.68m,€170.10m,€175.45m,€132.20m,€65.60m,,€49.10m,€50.20m,€55.90m,€68.30m,€70.95m,€66.40m,€77.30m,€74.50m,€68.90m,€40.05m,€36.38m,€13.85m
Rayo Vallecano,€71.30m,€63.95m,€103.40m,€67.20m,,,€86.70m,,,€49.60m,€51.70m,€46.10m,€49.75m,€47.30m,,,,,,,
CD Leganés,€56.33m,,,,,€109.70m,€112.45m,€58.55m,€53.15m,,,,,,,,,,,,
Real Valladolid CF,€44.20m,,€90.75m,,€63.35m,€87.78m,€83.00m,,,,,€41.20m,€38.80m,,,€50.50m,€48.80m,€47.65m,,,
Birmingham City,,,,,,,,,,,,,,,€95.38m,€69.65m,,€82.50m,,€81.83m,€106.93m
Blackpool FC,,,,,,,,,,,,,,,€50.03m,,,,,,
UD Almería,,€99.40m,€114.20m,,,,,,,,€38.30m,€36.45m,,,€73.60m,€63.70m,€80.00m,€56.70m,,,
Elche CF,,,€67.50m,€72.98m,€45.65m,,,,,,€38.60m,€44.60m,,,,,,,,,
Cádiz CF,,€60.70m,€65.60m,€67.80m,€47.65m,,,,,,,,,,,,,,,€22.15m,
