Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
I1,02/10/05,Lecce,Cagliari,3.0,0.0,H,2.0,0.0,H,2.1,3.0,3.75,2.2,2.85,3.4,O. Girardi,11.0,17.0,8.0,7.0,24.0,16.0,4.0,8.0,0.0,3.0,0.0,0.0
I1,02/10/05,Messina,Sampdoria,1.0,4.0,A,0.0,1.0,A,2.75,2.87,2.75,2.9,2.8,2.5,M. De Santis,18.0,12.0,10.0,7.0,15.0,18.0,5.0,0.0,4.0,3.0,0.0,0.0
I1,02/10/05,Milan,Reggina,2.0,1.0,H,2.0,0.0,H,1.2,5.5,17.0,1.17,6.0,13.0,N. Rizzoli,17.0,8.0,7.0,1.0,13.0,10.0,7.0,1.0,1.0,0.0,0.0,0.0
I1,02/10/05,Palermo,Empoli,2.0,2.0,D,1.0,2.0,A,1.53,3.5,7.0,1.55,3.2,7.0,L. Banti,21.0,5.0,10.0,4.0,13.0,11.0,11.0,0.0,0.0,2.0,0.0,0.0
I1,02/10/05,Roma,Siena,2.0,3.0,A,0.0,1.0,A,1.53,3.5,7.0,1.45,3.7,7.15,E. Morganti,15.0,5.0,9.0,4.0,19.0,17.0,14.0,5.0,2.0,3.0,0.0,1.0
I1,15/10/05,Juventus,Messina,1.0,0.0,H,1.0,0.0,H,1.16,5.5,13.0,1.15,6.0,16.0,M. Bergonzi,14.0,8.0,10.0,4.0,24.0,26.0,6.0,1.0,2.0,4.0,0.0,0.0
I1,15/10/05,Siena,Udinese,2.0,3.0,A,0.0,2.0,A,2.75,2.75,2.6,2.7,2.9,2.6,P. Tagliavento,11.0,13.0,6.0,8.0,16.0,19.0,3.0,6.0,2.0,4.0,0.0,1.0
I1,16/10/05,Ascoli,Sampdoria,2.0,1.0,H,1.0,0.0,H,3.2,2.87,2.2,3.45,3.0,2.1,M. Saccani,13.0,13.0,9.0,7.0,17.0,19.0,4.0,9.0,2.0,1.0,0.0,0.0
I1,16/10/05,Cagliari,Milan,0.0,2.0,A,0.0,2.0,A,5.5,3.5,1.53,6.85,3.5,1.5,D. Messina,10.0,9.0,5.0,4.0,15.0,16.0,6.0,3.0,1.0,1.0,0.0,0.0
I1,16/10/05,Empoli,Roma,1.0,0.0,H,0.0,0.0,D,3.2,2.8,2.25,3.2,3.1,2.15,T. Pieri,7.0,8.0,4.0,4.0,12.0,17.0,4.0,11.0,0.0,3.0,1.0,0.0
I1,16/10/05,Inter,Livorno,5.0,0.0,H,2.0,0.0,H,1.25,5.0,9.0,1.22,5.5,10.5,P. Rodomonti,15.0,5.0,11.0,1.0,20.0,16.0,4.0,2.0,1.0,0.0,0.0,1.0
I1,16/10/05,Lazio,Fiorentina,1.0,0.0,H,0.0,0.0,D,2.5,2.87,2.75,2.6,2.9,2.7,N. Rizzoli,10.0,12.0,9.0,4.0,15.0,21.0,8.0,7.0,1.0,3.0,0.0,0.0
I1,16/10/05,Palermo,Chievo,2.0,2.0,D,1.0,2.0,A,1.72,3.2,4.5,1.72,3.0,5.5,G. Rocchi,9.0,7.0,6.0,5.0,26.0,20.0,4.0,3.0,3.0,3.0,1.0,0.0
I1,16/10/05,Parma,Treviso,1.0,1.0,D,1.0,0.0,H,1.66,3.2,5.0,1.7,3.0,5.65,A. Giannoccaro,5.0,13.0,2.0,4.0,16.0,37.0,1.0,7.0,3.0,5.0,0.0,0.0
