Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
SP1,16/10/05,Zaragoza,Sociedad,0,1,A,0,1,A,1.72,3.25,4.33,1.8,3.3,4.1,17.0,7.0,2.0,3.0,14.0,16.0,11.0,5.0,2.0,1.0,0.0,1.0
SP1,22/10/05,Barcelona,Osasuna,3,0,H,0,0,D,1.36,4.33,9.0,1.25,5.0,10.0,24.0,6.0,10.0,1.0,10.0,21.0,7.0,2.0,1.0,4.0,0.0,0.0
SP1,22/10/05,Sevilla,Alaves,2,0,H,1,0,H,1.72,3.4,5.0,1.6,3.3,5.75,13.0,8.0,5.0,3.0,21.0,19.0,6.0,3.0,2.0,7.0,0.0,0.0
SP1,23/10/05,Cadiz,Ath Bilbao,1,0,H,1,0,H,2.25,3.2,3.1,2.3,3.0,3.0,11.0,12.0,2.0,0.0,20.0,10.0,3.0,1.0,3.0,0.0,0.0,0.0
SP1,23/10/05,Celta,Espanol,1,0,H,0,0,D,2.0,3.3,3.6,1.95,3.25,3.55,19.0,12.0,5.0,4.0,18.0,21.0,3.0,1.0,3.0,4.0,0.0,1.0
SP1,23/10/05,Getafe,Zaragoza,5,2,H,4,0,H,2.2,3.2,3.25,2.05,3.1,3.4,14.0,14.0,8.0,6.0,15.0,24.0,5.0,7.0,2.0,5.0,0.0,0.0
SP1,23/10/05,Malaga,Betis,5,0,H,2,0,H,2.4,3.25,2.8,2.45,3.15,2.65,17.0,10.0,9.0,4.0,26.0,14.0,7.0,4.0,1.0,1.0,0.0,0.0
SP1,23/10/05,Real Madrid,Valencia,1,2,A,1,2,A,1.66,3.4,5.5,1.6,3.4,5.5,15.0,16.0,3.0,6.0,20.0,23.0,6.0,6.0,4.0,3.0,2.0,0.0
SP1,23/10/05,Santander,Ath Madrid,0,1,A,0,1,A,2.6,3.2,2.62,2.5,3.15,2.6,8.0,12.0,3.0,5.0,20.0,20.0,10.0,4.0,2.0,2.0,0.0,0.0
SP1,23/10/05,Sociedad,La Coruna,2,0,H,0,0,D,2.4,3.25,2.8,2.5,3.0,2.7,16.0,13.0,9.0,1.0,26.0,14.0,5.0,4.0,2.0,2.0,0.0,0.0
SP1,23/10/05,Villarreal,Mallorca,3,0,H,3,0,H,1.57,3.6,6.0,1.5,3.5,6.6,18.0,13.0,7.0,2.0,13.0,16.0,4.0,6.0,1.0,1.0,0.0,0.0
SP1,26/10/05,Barcelona,Malaga,2,0,H,0,0,D,1.25,5.0,13.0,1.2,5.55,11.0,36.0,4.0,20.0,1.0,6.0,24.0,12.0,2.0,0.0,5.0,0.0,0.0
SP1,26/10/05,Betis,Villarreal,2,3,A,1,1,D,2.25,3.2,3.1,1.95,3.3,3.5,10.0,4.0,4.0,4.0,10.0,8.0,2.0,2.0,4.0,4.0,1.0,0.0
SP1,26/10/05,La Coruna,Real Madrid,3,1,H,2,0,H,2.87,3.25,2.37,2.9,3.25,2.25,21.0,7.0,5.0,4.0,21.0,20.0,5.0,3.0,3.0,3.0,0.0,0.0
SP1,26/10/05,Mallorca,Celta,1,0,H,0,0,D,2.5,3.2,2.75,2.65,3.1,2.5,15.0,8.0,5.0,2.0,23.0,22.0,5.0,4.0,3.0,1.0,0.0,1.0
SP1,26/10/05,Osasuna,Ath Bilbao,3,2,H,1,1,D,1.9,3.25,4.0,1.75,3.4,4.2,11.0,16.0,7.0,2.0,21.0,19.0,2.0,2.0,4.0,1.0,0.0,0.0
SP1,27/10/05,Alaves,Espanol,1,1,D,1,1,D,2.3,3.25,3.0,2.35,3.05,2.85,12.0,12.0,9.0,6.0,19.0,12.0,10.0,10.0,3.0,3.0,1.0,0.0
SP1,27/10/05,Ath Madrid,Cadiz,3,0,H,1,0,H,1.72,3.4,5.0,1.65,3.45,4.8,20.0,7.0,10.0,2.0,21.0,13.0,9.0,5.0,3.0,2.0,0.0,0.0
SP1,27/10/05,Sociedad,Getafe,3,0,H,3,0,H,2.1,3.25,3.4,2.1,3.2,3.2,11.0,18.0,5.0,8.0,18.0,21.0,6.0,10.0,0.0,2.0,0.0,0.0
SP1,27/10/05,Valencia,Sevilla,0,2,A,0,1,A,1.66,3.4,5.5,1.7,3.35,4.6,24.0,4.0,6.0,2.0,16.0,16.0,10.0,2.0,1.0,0.0,0.0,0.0
SP1,27/10/05,Zaragoza,Santander,1,1,D,1,0,H,1.83,3.3,4.33,1.85,3.3,3.85,14.0,6.0,3.0,1.0,18.0,25.0,5.0,3.0,2.0,6.0,0.0,0.0
SP1,29/10/05,Ath Bilbao,Celta,1,1,D,1,0,H,2.25,3.25,2.75,2.2,3.1,3.05,14.0,11.0,3.0,4.0,25.0,13.0,6.0,3.0,2.0,2.0,0.0,0.0
