Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,B365H_Prob,BWH_Prob,B365D_Prob,BWD_Prob,B365A_Prob,BWA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A,League
B1,24/10/2004,Beveren,Cercle Brugge,H,2.0,3.2,3.2,2.0,3.25,3.3,2004/5,€14.30m,€10.98m,50.0,50.0,31.25,30.7692,31.25,30.303,H,50.0,0.0,31.0096,0.34,30.7765,0.6696,JupilerLeague
B1,24/10/2004,Club Brugge,Louvieroise,H,1.33,4.33,7.0,1.4,4.0,6.75,2004/5,€53.03m,€17.80m,75.188,71.4286,23.0947,25.0,14.2857,14.8148,H,73.3083,2.6583,24.0474,1.3473,14.5502,0.3741,JupilerLeague
B1,24/10/2004,Germinal,Standard,H,3.0,3.2,2.1,3.3,3.25,2.0,2004/5,€15.67m,€43.55m,33.3333,30.303,31.25,30.7692,47.619,50.0,A,31.8182,2.1427,31.0096,0.34,48.8095,1.6836,JupilerLeague
B1,24/10/2004,Oostende,Lierse,A,2.37,3.1,2.62,2.25,3.2,2.8,2004/5,€8.60m,€14.83m,42.1941,44.4444,32.2581,31.25,38.1679,35.7143,H,43.3192,1.5912,31.754,0.7128,36.9411,1.735,JupilerLeague
B1,29/10/2004,Standard,Club Brugge,A,2.75,3.2,2.25,2.9,3.2,2.2,2004/5,€43.55m,€53.03m,36.3636,34.4828,31.25,31.25,44.4444,45.4545,A,35.4232,1.3299,31.25,0.0,44.9494,0.7142,JupilerLeague
B1,30/10/2004,Charleroi,Oostende,H,1.53,3.5,5.5,1.55,3.6,5.3,2004/5,€12.15m,€8.60m,65.3595,64.5161,28.5714,27.7778,18.1818,18.8679,H,64.9378,0.5964,28.1746,0.5612,18.5248,0.4851,JupilerLeague
B1,30/10/2004,FC Brussels,Beveren,A,2.25,3.2,2.75,2.3,3.2,2.75,2004/5,€10.22m,€14.30m,44.4444,43.4783,31.25,31.25,36.3636,36.3636,H,43.9613,0.6831,31.25,0.0,36.3636,0.0,JupilerLeague
B1,30/10/2004,Genk,St Truiden,H,1.5,3.4,6.0,1.45,3.8,6.25,2004/5,€30.45m,€12.10m,66.6667,68.9655,29.4118,26.3158,16.6667,16.0,H,67.8161,1.6255,27.8638,2.1892,16.3334,0.4714,JupilerLeague
B1,30/10/2004,Lokeren,Anderlecht,D,4.0,3.4,1.72,3.55,3.3,1.9,2004/5,€18.73m,€63.60m,25.0,28.169,29.4118,30.303,58.1395,52.6316,A,26.5845,2.2408,29.8574,0.6302,55.3856,3.8947,JupilerLeague
B1,30/10/2004,Louvieroise,Bergen,H,1.61,3.25,5.0,1.55,3.6,5.3,2004/5,€17.80m,€15.63m,62.1118,64.5161,30.7692,27.7778,20.0,18.8679,H,63.314,1.7001,29.2735,2.1152,19.434,0.8005,JupilerLeague
B1,30/10/2004,Westerlo,Germinal,H,2.0,3.2,3.2,2.0,3.25,3.3,2004/5,€13.40m,€15.67m,50.0,50.0,31.25,30.7692,31.25,30.303,H,50.0,0.0,31.0096,0.34,30.7765,0.6696,JupilerLeague
B1,31/10/2004,Cercle Brugge,Gent,H,2.4,3.1,2.62,2.4,3.2,2.6,2004/5,€10.98m,€26.63m,41.6667,41.6667,32.2581,31.25,38.1679,38.4615,H,41.6667,0.0,31.754,0.7128,38.3147,0.2076,JupilerLeague
