Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA,BFH,BFD,BFA
B1,19/09/04,Standard,Lokeren,H,1.72,3.4,4.0,1.75,3.4,4.05,1.75,3.45,4.0,1.8,3.1,3.8,1.8,3.2,4.0,1.67,3.4,4.33,1.72,3.25,4.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,24/09/04,Charleroi,Anderlecht,H,5.0,3.6,1.53,4.9,3.55,1.6,5.0,3.5,1.6,5.0,3.7,1.5,5.0,3.5,1.57,5.0,3.6,1.53,5.5,3.5,1.53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,24/09/04,FC Brussels,Club Brugge,A,5.5,3.6,1.5,6.2,3.8,1.45,5.5,3.8,1.5,5.4,3.8,1.45,5.5,3.6,1.5,6.5,3.6,1.44,6.0,3.75,1.44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,25/09/04,Cercle Brugge,Bergen,H,1.9,3.2,3.5,2.0,3.25,3.3,1.97,3.25,3.4,1.85,3.1,3.6,1.91,3.2,3.5,2.0,3.2,3.2,1.9,3.3,3.35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,25/09/04,Lokeren,Westerlo,H,2.1,3.2,3.0,2.1,3.25,3.05,2.0,3.25,3.3,1.9,3.1,3.5,1.91,3.2,3.5,2.1,3.2,3.0,2.1,3.3,2.87,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,25/09/04,Louvieroise,Standard,A,2.4,3.25,2.5,2.3,3.2,2.75,2.55,3.05,2.55,2.5,3.0,2.5,2.38,3.25,2.5,2.4,3.2,2.5,2.6,3.1,2.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,25/09/04,Mouscron,Gent,A,1.8,3.25,3.75,1.7,3.45,4.3,1.7,3.45,4.3,1.75,3.2,4.0,1.8,3.4,3.6,1.8,3.25,3.8,1.8,3.3,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,25/09/04,Oostende,Beveren,D,2.4,3.25,2.5,2.3,3.2,2.75,2.4,3.2,2.65,2.5,3.0,2.5,2.5,3.25,2.38,2.4,3.2,2.5,2.45,3.3,2.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,26/09/04,Genk,Germinal,H,1.61,3.5,4.5,1.65,3.5,4.55,1.62,3.6,4.65,1.55,3.5,4.8,1.57,3.5,5.0,1.62,3.5,4.5,1.65,3.4,4.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,26/09/04,Lierse,St Truiden,A,1.66,3.4,4.33,1.7,3.45,4.3,1.65,3.5,4.6,1.65,3.3,4.4,1.67,3.25,4.5,1.67,3.4,4.33,1.7,3.4,4.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,02/10/04,Anderlecht,Cercle Brugge,H,1.22,5.0,11.0,1.2,5.5,10.0,1.2,5.3,11.0,1.2,5.0,10.0,1.2,5.0,11.0,1.2,5.0,11.0,1.2,5.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,02/10/04,Bergen,FC Brussels,A,1.9,3.2,3.5,1.75,3.4,4.05,1.91,3.3,3.5,2.0,3.1,3.2,1.91,3.2,3.5,1.91,3.25,3.4,1.95,3.2,3.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,02/10/04,Gent,Oostende,H,1.44,3.6,6.5,1.55,3.6,5.3,1.45,3.75,6.5,1.45,3.8,5.4,1.33,4.0,8.0,1.44,3.75,6.0,1.5,3.4,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,02/10/04,Germinal,Lokeren,A,2.1,3.2,3.0,2.0,3.3,3.25,2.15,3.2,3.0,2.1,3.0,3.1,2.1,3.4,2.88,2.1,3.2,3.0,2.1,3.3,2.87,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
B1,02/10/04,St Truiden,Charleroi,D,2.4,3.25,2.5,2.3,3.2,2.75,2.4,3.2,2.6,2.1,3.0,3.1,2.25,3.2,2.75,2.38,3.1,2.62,2.37,3.1,2.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
