Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA,BFH,BFD,BFA
N1,26/09/04,Graafschap,Twente,D,2.5,3.1,2.5,2.45,3.2,2.55,2.4,3.2,2.6,2.7,3.0,2.3,2.38,3.25,2.5,2.5,3.1,2.5,2.35,3.3,2.55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,26/09/04,Groningen,Nijmegen,D,2.25,3.2,2.75,2.15,3.3,2.9,2.15,3.3,2.9,2.2,3.0,2.9,2.25,3.2,2.75,2.2,3.2,2.8,2.15,3.3,2.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,26/09/04,NAC Breda,Waalwijk,A,1.9,3.2,3.5,1.9,3.4,3.4,1.85,3.3,3.75,1.85,3.1,3.6,1.8,3.2,4.0,1.91,3.25,3.4,1.75,3.3,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,26/09/04,Utrecht,Den Haag,H,1.53,3.6,5.5,1.4,4.0,6.75,1.45,3.7,6.5,1.45,3.8,5.4,1.5,3.6,5.5,1.53,3.6,5.25,1.5,3.4,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,01/10/04,Nijmegen,Roosendaal,H,1.66,3.4,4.33,1.7,3.5,4.2,1.65,3.4,4.75,1.65,3.3,4.2,1.0,1.0,1.0,1.67,3.4,4.33,1.57,3.6,4.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,02/10/04,NAC Breda,Graafschap,H,1.57,3.5,5.0,1.5,3.75,5.6,1.5,3.7,5.75,1.55,3.5,4.8,1.57,3.5,5.0,1.53,3.6,5.25,1.6,3.5,4.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,02/10/04,PSV Eindhoven,Groningen,H,1.2,5.0,11.0,1.15,6.5,11.0,1.15,6.5,11.0,1.15,6.0,12.0,1.14,5.5,15.0,1.17,5.5,12.0,1.12,6.5,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,02/10/04,Twente,Roda JC,A,2.2,3.2,2.8,2.1,3.3,3.0,2.2,3.2,2.9,2.2,3.0,2.9,2.2,3.2,2.8,2.25,3.2,2.75,2.2,3.3,2.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,02/10/04,Willem II,Vitesse,H,2.1,3.2,3.0,2.1,3.3,3.0,2.1,3.2,3.1,2.1,3.0,3.1,2.1,3.2,3.0,2.1,3.2,3.0,2.0,3.3,3.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,03/10/04,AZ Alkmaar,Ajax,D,4.0,3.4,1.72,4.0,3.25,1.8,3.5,3.3,1.9,3.5,3.1,1.9,3.25,3.4,1.91,3.6,3.25,1.85,3.1,3.4,1.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,03/10/04,Feyenoord,Den Bosch,H,1.16,6.0,15.0,1.15,6.5,11.0,1.15,6.5,11.0,1.15,6.0,12.0,1.14,6.0,12.0,1.17,5.5,12.0,1.16,6.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,03/10/04,Heerenveen,Den Haag,H,1.44,3.6,6.5,1.45,3.8,6.2,1.45,3.7,6.5,1.5,3.7,5.0,1.5,3.6,5.5,1.5,3.6,5.5,1.5,3.6,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
