Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,B365H_Prob,BWH_Prob,WHH_Prob,IWH_Prob,B365D_Prob,BWD_Prob,WHD_Prob,IWD_Prob,B365A_Prob,BWA_Prob,WHA_Prob,IWA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A
N1,25/09/2004,Vitesse,Den Bosch,D,1.53,3.6,5.0,1.5,3.75,5.6,1.45,3.8,5.4,1.55,3.5,5.2,2004/5,€21.40m,€8.35m,65.3595,66.6667,64.5161,68.9655,27.7778,26.6667,28.5714,26.3158,20.0,17.8571,19.2308,18.5185,H,66.377,1.9393,27.3329,1.0344,18.9016,0.9224
N1,26/09/2004,Graafschap,Twente,D,2.5,3.1,2.5,2.45,3.2,2.55,2.7,3.0,2.3,2.35,3.3,2.55,2004/5,€12.28m,€13.25m,40.0,40.8163,42.5532,37.037,32.2581,31.25,30.303,33.3333,40.0,39.2157,39.2157,43.4783,H,40.1016,2.3039,31.7861,1.3043,40.4774,2.0345
N1,26/09/2004,Groningen,Nijmegen,D,2.25,3.2,2.75,2.15,3.3,2.9,2.2,3.0,2.9,2.15,3.3,2.8,2004/5,€12.95m,€16.88m,44.4444,46.5116,46.5116,45.4545,31.25,30.303,30.303,33.3333,36.3636,34.4828,35.7143,34.4828,H,45.7305,0.9917,31.2973,1.4288,35.2609,0.9367
N1,26/09/2004,NAC Breda,Waalwijk,A,1.9,3.2,3.5,1.9,3.4,3.4,1.85,3.1,3.6,1.75,3.3,4.0,2004/5,€17.45m,€19.33m,52.6316,52.6316,57.1429,54.0541,31.25,29.4118,30.303,32.2581,28.5714,29.4118,25.0,27.7778,H,54.115,2.127,30.8057,1.2251,27.6902,1.9136
N1,26/09/2004,Utrecht,Den Haag,H,1.53,3.6,5.5,1.4,4.0,6.75,1.45,3.8,5.4,1.5,3.4,6.0,2004/5,€20.30m,€9.92m,65.3595,71.4286,66.6667,68.9655,27.7778,25.0,29.4118,26.3158,18.1818,14.8148,16.6667,18.5185,H,68.1051,2.6704,27.1264,1.8997,17.0454,1.6912
N1,01/10/2004,Nijmegen,Roosendaal,H,1.66,3.4,4.33,1.7,3.5,4.2,1.65,3.3,4.2,1.57,3.6,4.8,2004/5,€16.88m,€10.70m,60.241,58.8235,63.6943,60.6061,29.4118,28.5714,27.7778,30.303,23.0947,23.8095,20.8333,23.8095,H,60.8412,2.0516,29.016,1.0869,22.8868,1.4098
N1,02/10/2004,NAC Breda,Graafschap,H,1.57,3.5,5.0,1.5,3.75,5.6,1.55,3.5,4.8,1.6,3.5,4.75,2004/5,€17.45m,€12.28m,63.6943,66.6667,62.5,64.5161,28.5714,26.6667,28.5714,28.5714,20.0,17.8571,21.0526,20.8333,H,64.3443,1.7557,28.0952,0.9524,19.9358,1.4581
N1,02/10/2004,PSV Eindhoven,Groningen,H,1.2,5.0,11.0,1.15,6.5,11.0,1.15,6.0,12.0,1.12,6.5,12.0,2004/5,€86.85m,€12.95m,83.3333,86.9565,89.2857,86.9565,20.0,15.3846,15.3846,16.6667,9.0909,9.0909,8.3333,8.3333,H,86.633,2.4586,16.859,2.1795,8.7121,0.4374
N1,02/10/2004,Twente,Roda,A,2.2,3.2,2.8,2.1,3.3,3.0,2.2,3.0,2.9,2.2,3.3,2.7,2004/5,€13.25m,€20.93m,45.4545,47.619,45.4545,45.4545,31.25,30.303,30.303,33.3333,35.7143,33.3333,37.037,34.4828,H,45.9956,1.0822,31.2973,1.4288,35.1418,1.5942
N1,02/10/2004,Willem II,Vitesse,H,2.1,3.2,3.0,2.1,3.3,3.0,2.1,3.0,3.1,2.0,3.3,3.1,2004/5,€13.98m,€21.40m,47.619,47.619,50.0,47.619,31.25,30.303,30.303,33.3333,33.3333,33.3333,32.2581,32.2581,H,48.2142,1.1905,31.2973,1.4288,32.7957,0.6208
