Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,Season,HomeValue,AwayValue,B365H_Prob,BWH_Prob,WHH_Prob,IWH_Prob,B365D_Prob,BWD_Prob,WHD_Prob,IWD_Prob,B365A_Prob,BWA_Prob,WHA_Prob,IWA_Prob,Consensus,Mean_Prob_H,Std_Dev_Prob_H,Mean_Prob_D,Std_Dev_Prob_D,Mean_Prob_A,Std_Dev_Prob_A
SC0,16/10/2004,Hibernian,Dundee United,H,1.8,3.3,4.0,2.0,3.15,3.4,1.9,3.1,3.5,1.9,3.25,3.4,2004/5,€13.25m,€8.13m,55.5556,50.0,52.6316,52.6316,30.303,31.746,30.7692,32.2581,25.0,29.4118,29.4118,28.5714,H,52.7047,2.2696,31.2691,0.8923,28.0988,2.1035
SC0,16/10/2004,Inverness C,Aberdeen,A,4.5,3.5,1.66,4.5,3.5,1.65,3.8,3.1,1.8,3.75,3.3,1.8,2004/5,€2.38m,€6.88m,22.2222,22.2222,26.6667,26.3158,28.5714,28.5714,30.303,32.2581,60.241,60.6061,55.5556,55.5556,A,24.3567,2.4689,29.926,1.756,57.9896,2.8145
SC0,16/10/2004,Livingston,Dunfermline,H,2.1,3.4,3.0,2.25,3.1,2.9,2.3,2.8,2.9,2.2,3.25,2.75,2004/5,€9.75m,€6.03m,47.619,44.4444,45.4545,43.4783,29.4118,32.2581,30.7692,35.7143,33.3333,34.4828,36.3636,34.4828,H,45.249,1.7741,32.0384,2.7123,34.6656,1.255
SC0,17/10/2004,Motherwell,Rangers,A,6.5,3.75,1.53,6.0,3.6,1.5,5.0,3.7,1.5,6.0,3.25,1.53,2004/5,€4.83m,€80.78m,15.3846,16.6667,16.6667,20.0,26.6667,27.7778,30.7692,27.027,65.3595,66.6667,65.3595,66.6667,A,17.1795,1.9751,28.0602,1.8644,66.0131,0.7547
SC0,23/10/2004,Aberdeen,Motherwell,H,2.1,3.4,3.0,1.95,3.2,3.5,2.0,3.1,3.2,2.1,3.1,3.1,2004/5,€6.88m,€4.83m,47.619,51.2821,47.619,50.0,29.4118,31.25,32.2581,32.2581,33.3333,28.5714,32.2581,31.25,H,49.13,1.8216,31.2945,1.3421,31.3532,2.0403
SC0,23/10/2004,Dundee,Dunfermline,A,1.9,3.4,3.5,1.9,3.2,3.65,2.0,3.1,3.2,1.9,3.2,3.5,2004/5,€9.05m,€6.03m,52.6316,52.6316,52.6316,50.0,29.4118,31.25,31.25,32.2581,28.5714,27.3973,28.5714,31.25,H,51.9737,1.3158,31.0425,1.1864,28.9475,1.6317
SC0,23/10/2004,Kilmarnock,Inverness C,D,1.57,3.6,5.0,1.55,3.5,5.5,1.6,3.4,4.6,1.61,3.5,4.5,2004/5,€3.78m,€2.38m,63.6943,64.5161,62.1118,62.5,27.7778,28.5714,28.5714,29.4118,20.0,18.1818,22.2222,21.7391,H,63.2056,1.1031,28.5831,0.6672,20.5358,1.8367
SC0,24/10/2004,Hearts,Hibernian,H,2.1,3.2,3.2,2.1,3.15,3.15,2.2,3.0,2.9,2.0,3.0,3.4,2004/5,€11.08m,€13.25m,47.619,47.619,50.0,45.4545,31.25,31.746,33.3333,33.3333,31.25,31.746,29.4118,34.4828,H,47.6731,1.8567,32.4156,1.0788,31.7226,2.0962
SC0,24/10/2004,Livingston,Celtic,A,10.0,5.5,1.25,10.0,6.0,1.18,10.0,5.0,1.2,12.0,5.5,1.16,2004/5,€9.75m,€77.55m,10.0,10.0,8.3333,10.0,18.1818,16.6667,18.1818,20.0,80.0,84.7458,86.2069,83.3333,A,9.5833,0.8334,18.2576,1.3636,83.5715,2.6543
SC0,24/10/2004,Rangers,Dundee United,D,1.14,6.5,13.0,1.18,6.0,10.0,1.15,6.0,12.0,1.11,6.5,15.0,2004/5,€80.78m,€8.13m,87.7193,84.7458,90.0901,86.9565,15.3846,16.6667,15.3846,16.6667,7.6923,10.0,6.6667,8.3333,H,87.3779,2.2044,16.0256,0.7402,8.1731,1.3981
