Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA
E0,02/11/2019,West Ham,Newcastle,A,1.75,3.8,4.5,1.8,3.8,4.25,2019/20,€303.60m,€252.48m,1.79,3.87,4.69,1.89,3.64,4.48,1.75,3.8,4.5
E0,02/11/2019,Watford,Chelsea,A,5.0,4.33,1.61,4.75,4.2,1.65,2019/20,€199.60m,€705.85m,5.13,4.21,1.68,5.34,4.43,1.63,5.0,4.33,1.6
E0,03/11/2019,Crystal Palace,Leicester,A,3.5,3.4,2.1,3.5,3.3,2.15,2019/20,€189.33m,€411.10m,3.57,3.42,2.2,3.86,3.62,2.05,3.6,3.4,2.05
E0,03/11/2019,Everton,Tottenham,D,2.7,3.4,2.6,2.8,3.4,2.5,2019/20,€420.55m,€806.80m,2.74,3.55,2.63,2.54,3.62,2.82,2.5,3.6,2.7
E0,08/11/2019,Norwich,Watford,A,2.7,3.5,2.55,2.7,3.5,2.6,2019/20,€145.33m,€199.60m,2.7,3.58,2.65,2.97,3.63,2.41,2.8,3.6,2.37
E0,09/11/2019,Chelsea,Crystal Palace,H,1.33,5.0,10.0,1.34,5.25,8.75,2019/20,€705.85m,€189.33m,1.34,5.41,9.74,1.44,4.69,7.98,1.4,4.75,7.5
E0,09/11/2019,Burnley,West Ham,H,2.25,3.5,3.1,2.3,3.5,3.0,2019/20,€163.88m,€303.60m,2.27,3.59,3.24,2.18,3.63,3.41,2.1,3.6,3.3
E0,09/11/2019,Newcastle,Bournemouth,H,2.55,3.25,2.8,2.7,3.1,2.8,2019/20,€252.48m,€272.18m,2.69,3.25,2.88,2.69,3.31,2.83,2.55,3.25,2.8
E0,09/11/2019,Southampton,Everton,A,2.9,3.3,2.45,2.9,3.4,2.45,2019/20,€210.75m,€420.55m,3.11,3.44,2.41,3.17,3.35,2.42,3.1,3.5,2.25
E0,09/11/2019,Tottenham,Sheffield United,D,1.57,4.0,6.0,1.57,4.0,6.0,2019/20,€806.80m,€138.60m,1.6,4.21,6.09,1.56,4.41,6.26,1.5,4.33,6.5
E0,09/11/2019,Leicester,Arsenal,H,2.0,3.75,3.5,2.0,3.8,3.5,2019/20,€411.10m,€607.65m,1.98,3.91,3.79,1.93,4.05,3.88,1.85,4.0,3.75
E0,10/11/2019,Man United,Brighton,H,1.6,3.75,6.5,1.6,3.8,6.0,2019/20,€670.45m,€200.78m,1.7,3.66,5.98,1.66,3.69,6.41,1.6,3.8,6.0
E0,10/11/2019,Wolves,Aston Villa,H,1.9,3.5,4.2,1.85,3.6,4.33,2019/20,€320.33m,€231.70m,1.89,3.7,4.38,1.68,3.97,5.53,1.66,3.8,5.25
E0,10/11/2019,Liverpool,Man City,H,2.5,3.6,2.62,2.65,3.6,2.55,2019/20,€1.00bn,€1.05bn,2.57,3.66,2.74,2.72,3.64,2.62,2.7,3.6,2.5
E0,23/11/2019,West Ham,Tottenham,A,4.2,4.33,1.7,4.33,4.0,1.75,2019/20,€303.60m,€806.80m,4.37,4.32,1.76,4.71,4.53,1.69,4.5,4.33,1.66
E0,23/11/2019,Arsenal,Southampton,D,1.45,4.75,6.5,1.45,4.75,6.5,2019/20,€607.65m,€210.75m,1.49,4.72,6.86,1.5,4.54,7.05,1.45,4.75,6.5
