Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA
N1,02/11/2019,Waalwijk,Heracles,H,3.25,3.6,2.1,3.3,3.7,2.1,2019/20,€10.78m,€22.48m,3.2,3.84,2.16,3.15,4.07,2.12,3.3,3.6,2.05
N1,02/11/2019,Sparta Rotterdam,PSV Eindhoven,D,4.0,4.0,1.72,4.1,4.0,1.8,2019/20,€15.50m,€219.58m,4.2,4.03,1.82,4.38,3.89,1.81,4.0,4.0,1.8
N1,02/11/2019,AZ Alkmaar,Twente,H,1.28,5.75,10.0,1.3,5.75,9.5,2019/20,€130.05m,€21.28m,1.3,5.76,10.15,1.24,6.36,11.31,1.2,6.5,13.0
N1,03/11/2019,FC Emmen,Vitesse,H,4.0,4.0,1.75,4.1,4.1,1.78,2019/20,€13.23m,€30.53m,4.13,4.0,1.84,3.96,4.14,1.85,4.0,3.8,1.8
N1,03/11/2019,Groningen,Willem II,H,1.95,3.6,3.5,2.0,3.7,3.6,2019/20,€30.40m,€21.80m,2.06,3.62,3.67,2.14,3.41,3.65,2.0,3.6,3.4
N1,03/11/2019,Utrecht,For Sittard,H,1.16,7.5,13.0,1.18,7.75,14.0,2019/20,€48.58m,€13.08m,1.19,7.39,13.44,1.28,6.14,9.63,1.3,6.0,8.5
N1,03/11/2019,VVV Venlo,Feyenoord,A,6.0,4.5,1.5,5.5,4.6,1.53,2019/20,€12.03m,€102.73m,5.96,5.0,1.49,5.62,4.82,1.53,6.5,4.5,1.45
N1,03/11/2019,Den Haag,Heerenveen,D,3.1,3.6,2.15,3.2,3.5,2.2,2019/20,€19.40m,€26.75m,3.06,3.94,2.2,3.12,3.81,2.21,3.1,3.7,2.1
N1,08/11/2019,Vitesse,Groningen,A,1.9,3.6,3.8,2.0,3.5,3.8,2019/20,€30.53m,€30.40m,1.97,3.58,4.06,2.13,3.38,3.72,2.05,3.6,3.3
N1,09/11/2019,Heerenveen,Sparta Rotterdam,H,2.0,3.75,3.4,2.1,3.75,3.3,2019/20,€26.75m,€15.50m,2.08,3.69,3.52,1.99,3.83,3.72,2.0,3.75,3.4
N1,09/11/2019,For Sittard,Den Haag,H,2.37,3.5,2.8,2.35,3.8,2.75,2019/20,€13.08m,€19.40m,2.42,3.83,2.78,2.55,3.8,2.64,2.37,3.5,2.8
N1,09/11/2019,Heracles,VVV Venlo,H,1.57,4.2,5.5,1.62,4.33,5.0,2019/20,€22.48m,€12.03m,1.63,4.35,5.17,1.65,4.27,5.07,1.61,4.0,5.0
N1,10/11/2019,Ajax,Utrecht,H,1.16,8.0,12.0,1.22,6.75,11.5,2019/20,€400.40m,€48.58m,1.22,6.9,11.54,1.25,6.75,10.08,1.2,6.5,9.5
N1,10/11/2019,Twente,Zwolle,H,2.0,3.75,3.5,2.05,3.8,3.4,2019/20,€21.28m,€16.50m,2.04,3.82,3.56,1.94,4.06,3.68,1.9,3.8,3.6
N1,10/11/2019,Willem II,PSV Eindhoven,H,4.5,3.75,1.72,4.5,3.9,1.75,2019/20,€21.80m,€219.58m,4.54,3.92,1.78,4.01,3.75,1.93,4.0,3.6,1.85
