Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA
F1,05/10/2019,Montpellier,Monaco,H,3.0,3.2,2.5,2.85,3.3,2.5,2019/20,€81.68m,€331.03m,2.96,3.32,2.56,3.2,3.41,2.36,3.1,3.3,2.25
F1,05/10/2019,Nantes,Nice,H,2.05,3.3,3.8,2.0,3.3,4.0,2019/20,€106.15m,€173.45m,2.01,3.48,4.11,2.11,3.29,3.98,2.0,3.3,3.75
F1,05/10/2019,Toulouse,Bordeaux,A,2.5,3.1,3.1,2.45,3.1,3.1,2019/20,€71.88m,€125.35m,2.63,3.1,3.06,2.54,3.14,3.16,2.37,3.1,3.3
F1,06/10/2019,Lille,Nimes,D,1.6,3.6,6.5,1.67,3.6,5.75,2019/20,€247.78m,€49.65m,1.64,4.01,5.75,1.6,4.01,6.29,1.57,3.75,6.5
F1,06/10/2019,Stade Rennais FC,Reims,A,2.2,3.1,3.6,2.1,3.2,3.9,2019/20,€171.88m,€81.68m,2.21,3.19,3.78,2.54,3.04,3.26,2.45,3.1,3.2
F1,06/10/2019,St Etienne,Lyon,H,3.4,3.6,2.1,3.25,3.6,2.15,2019/20,€104.83m,€384.55m,3.51,3.71,2.11,4.21,3.44,2.0,3.6,3.6,1.95
F1,18/10/2019,Nice,Paris SG,A,7.5,4.5,1.44,7.5,4.75,1.42,2019/20,€173.45m,€874.15m,7.95,4.65,1.44,8.65,5.1,1.38,8.5,5.0,1.36
F1,19/10/2019,Lyon,Dijon,D,1.33,5.25,10.0,1.34,5.25,8.75,2019/20,€384.55m,€50.23m,1.36,5.56,8.4,1.36,5.33,9.05,1.36,5.0,8.5
F1,19/10/2019,Angers,Brest,A,1.61,3.6,6.5,1.67,3.6,5.75,2019/20,€89.48m,€47.78m,1.64,3.76,6.36,1.63,3.83,6.43,1.61,3.75,6.0
F1,19/10/2019,Metz,Nantes,H,2.7,3.0,2.87,2.75,2.95,2.9,2019/20,€54.10m,€106.15m,2.76,3.11,2.9,2.49,3.1,3.28,2.5,3.0,3.1
F1,19/10/2019,Nimes,Amiens,D,2.1,3.25,3.8,2.05,3.4,3.75,2019/20,€49.65m,€61.93m,2.04,3.44,4.02,2.35,3.33,3.3,2.3,3.4,3.1
F1,19/10/2019,Reims,Montpellier,H,2.15,2.9,4.2,2.2,3.0,3.75,2019/20,€81.68m,€81.68m,2.23,2.96,4.11,2.3,2.9,4.0,2.25,2.87,3.8
F1,19/10/2019,Toulouse,Lille,H,3.6,3.3,2.1,3.6,3.25,2.15,2019/20,€71.88m,€247.78m,3.51,3.37,2.23,3.38,3.28,2.33,3.3,3.3,2.25
F1,20/10/2019,Bordeaux,St Etienne,A,2.3,3.2,3.3,2.25,3.1,3.5,2019/20,€125.35m,€104.83m,2.31,3.34,3.37,2.47,3.12,3.3,2.45,3.1,3.0
F1,20/10/2019,Monaco,Stade Rennais FC,H,1.85,3.75,4.2,1.78,3.8,4.5,2019/20,€331.03m,€171.88m,1.81,3.89,4.5,1.73,3.97,4.95,1.65,4.0,5.25
F1,20/10/2019,Marseille,Strasbourg,H,1.85,3.6,4.33,1.85,3.5,4.5,2019/20,€216.15m,€91.13m,1.84,3.46,5.05,1.83,3.51,5.03,1.72,3.5,5.0
F1,25/10/2019,Nantes,Monaco,A,3.0,3.3,2.4,2.9,3.3,2.5,2019/20,€106.15m,€331.03m,2.97,3.23,2.61,2.95,3.48,2.48,3.1,3.3,2.3
F1,26/10/2019,Lille,Bordeaux,H,1.83,3.6,4.33,1.83,3.6,4.5,2019/20,€247.78m,€125.35m,1.78,3.79,4.87,1.92,3.44,4.65,1.85,3.6,4.2
F1,26/10/2019,Brest,Dijon,H,2.3,3.2,3.3,2.25,3.3,3.3,2019/20,€47.78m,€50.23m,2.45,3.19,3.25,2.4,3.34,3.19,2.3,3.2,3.2
F1,26/10/2019,Lyon,Metz,H,1.44,4.5,7.5,1.44,4.5,7.75,2019/20,€384.55m,€54.10m,1.43,4.66,8.18,1.44,4.64,8.03,1.4,4.5,7.5
F1,26/10/2019,Montpellier,Angers,D,2.25,3.1,3.5,2.25,3.1,3.5,2019/20,€81.68m,€89.48m,2.32,3.15,3.55,2.24,3.25,3.62,2.2,3.1,3.6
F1,26/10/2019,Reims,Nimes,D,1.83,3.4,4.75,1.83,3.4,4.75,2019/20,€81.68m,€49.65m,1.87,3.43,4.94,1.65,3.76,6.19,1.65,3.6,5.5
F1,26/10/2019,Strasbourg,Nice,H,2.0,3.2,4.2,1.95,3.25,4.33,2019/20,€91.13m,€173.45m,1.98,3.29,4.6,1.93,3.38,4.69,1.85,3.4,4.5
F1,27/10/2019,Stade Rennais FC,Toulouse,H,1.9,3.4,4.33,1.95,3.3,4.2,2019/20,€171.88m,€71.88m,2.0,3.28,4.47,1.86,3.73,4.44,1.8,3.4,5.0
F1,27/10/2019,St Etienne,Amiens,D,1.83,3.5,4.5,1.83,3.6,4.5,2019/20,€104.83m,€61.93m,1.88,3.53,4.65,2.34,3.25,3.39,2.25,3.25,3.3
F1,27/10/2019,Paris SG,Marseille,H,1.22,7.0,11.0,1.22,6.75,12.5,2019/20,€874.15m,€216.15m,1.24,6.74,12.72,1.21,7.77,12.44,1.16,7.0,15.0
F1,01/11/2019,Dijon,Paris SG,H,15.0,7.0,1.16,13.0,7.0,1.2,2019/20,€50.23m,€874.15m,13.5,7.41,1.2,11.27,6.78,1.24,11.0,6.0,1.22
F1,02/11/2019,Marseille,Lille,H,2.2,3.2,3.5,2.25,3.3,3.3,2019/20,€216.15m,€247.78m,2.3,3.29,3.43,2.15,3.22,3.94,2.05,3.3,3.8
F1,02/11/2019,Amiens,Brest,H,1.72,3.6,5.0,1.75,3.7,4.75,2019/20,€61.93m,€47.78m,1.76,3.91,4.81,1.6,3.99,6.34,1.61,3.75,6.0
F1,02/11/2019,Angers,Strasbourg,H,2.05,3.1,4.2,2.1,3.1,4.0,2019/20,€89.48m,€91.13m,2.07,3.11,4.45,2.2,3.16,3.87,2.1,3.1,4.0
F1,02/11/2019,Metz,Montpellier,D,2.75,3.0,2.87,2.7,3.0,2.9,2019/20,€54.10m,€81.68m,2.79,3.19,2.79,3.35,2.95,2.56,3.25,3.0,2.37
F1,02/11/2019,Toulouse,Lyon,A,5.0,3.6,1.75,4.5,3.75,1.78,2019/20,€71.88m,€384.55m,4.5,3.81,1.83,4.66,4.08,1.75,5.0,3.8,1.66
F1,03/11/2019,Bordeaux,Nantes,H,2.25,3.0,3.75,2.35,3.0,3.4,2019/20,€125.35m,€106.15m,2.37,3.07,3.54,2.59,2.9,3.35,2.45,3.0,3.2
F1,03/11/2019,Nice,Reims,H,2.7,3.1,2.8,2.7,3.0,2.85,2019/20,€173.45m,€81.68m,2.69,3.1,2.99,2.89,3.0,2.86,2.7,3.1,2.8
F1,03/11/2019,St Etienne,Monaco,H,2.9,3.25,2.5,2.8,3.5,2.45,2019/20,€104.83m,€331.03m,2.94,3.54,2.46,3.09,3.45,2.4,3.0,3.5,2.3
F1,08/11/2019,Nice,Bordeaux,D,2.4,3.1,3.3,2.45,3.1,3.1,2019/20,€173.45m,€125.35m,2.48,3.1,3.31,2.2,3.17,3.86,2.05,3.2,3.75
F1,09/11/2019,Brest,Paris SG,A,13.0,7.5,1.2,10.5,7.5,1.22,2019/20,€47.78m,€874.15m,10.63,7.2,1.24,11.61,6.85,1.25,12.0,6.5,1.22
F1,09/11/2019,Lille,Metz,D,1.57,3.6,7.0,1.57,3.9,6.25,2019/20,€247.78m,€54.10m,1.6,4.08,6.1,1.54,3.94,7.78,1.53,3.75,7.5
F1,09/11/2019,Monaco,Dijon,H,1.4,4.75,8.5,1.4,5.0,7.5,2019/20,€331.03m,€50.23m,1.42,4.92,7.88,1.42,5.12,7.43,1.4,4.5,8.5
F1,09/11/2019,Reims,Angers,D,2.25,3.0,3.75,2.25,3.0,3.7,2019/20,€81.68m,€89.48m,2.35,3.04,3.64,2.67,2.98,3.14,2.55,3.0,3.0
F1,09/11/2019,Strasbourg,Nimes,H,1.85,3.5,4.5,1.87,3.4,4.6,2019/20,€91.13m,€49.65m,1.93,3.36,4.75,1.87,3.42,4.94,1.83,3.5,4.33
F1,10/11/2019,Stade Rennais FC,Amiens,H,2.0,3.25,4.0,2.2,3.2,3.5,2019/20,€171.88m,€61.93m,2.11,3.42,3.78,2.11,3.35,3.88,1.95,3.3,4.0
F1,10/11/2019,Montpellier,Toulouse,H,1.8,3.5,4.75,1.78,3.5,5.0,2019/20,€81.68m,€71.88m,1.79,3.6,5.15,1.83,3.63,4.83,1.75,3.5,4.75
F1,10/11/2019,Nantes,St Etienne,A,2.05,3.3,3.8,2.15,3.0,3.9,2019/20,€106.15m,€104.83m,2.12,3.22,4.06,1.88,3.51,4.68,1.83,3.5,4.33
F1,10/11/2019,Marseille,Lyon,H,2.6,3.5,2.7,2.6,3.4,2.7,2019/20,€216.15m,€384.55m,2.69,3.53,2.67,2.45,3.44,3.02,2.3,3.5,3.0
F1,22/11/2019,Paris SG,Lille,H,1.28,5.75,9.5,1.28,5.75,11.0,2019/20,€874.15m,€247.78m,1.28,6.17,10.94,1.32,5.77,9.87,1.3,5.5,9.5
F1,23/11/2019,Lyon,Nice,H,1.44,4.5,7.0,1.42,4.6,7.5,2019/20,€384.55m,€173.45m,1.47,4.48,7.61,1.58,4.41,5.82,1.53,4.0,6.5
F1,23/11/2019,Amiens,Strasbourg,A,2.4,3.1,3.1,2.5,2.95,3.2,2019/20,€61.93m,€91.13m,2.53,3.04,3.28,2.41,3.12,3.4,2.3,3.1,3.25
F1,23/11/2019,Angers,Nimes,H,1.7,3.6,5.5,1.7,3.7,5.25,2019/20,€89.48m,€49.65m,1.69,3.85,5.54,1.84,3.71,4.63,1.75,3.6,4.75
F1,23/11/2019,Brest,Nantes,D,2.9,3.1,2.6,2.9,3.1,2.6,2019/20,€47.78m,€106.15m,2.95,3.2,2.64,2.7,3.25,2.84,2.55,3.2,2.8
