Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,HF,AF
B1,05/10/2019,Waregem,Cercle Brugge,6.0,0.0,H,2.0,0.0,H,1.6,4.0,5.5,1.62,4.1,5.25,2019/20,€30.08m,€31.93m,11.0,8.0,7.0,3.0,4.0,7.0,1.0,3.0,0.0,0.0,8.0,17.0
B1,05/10/2019,Kortrijk,St Truiden,4.0,0.0,H,3.0,0.0,H,1.83,3.6,4.0,1.85,3.75,4.1,2019/20,€19.90m,€26.75m,16.0,6.0,9.0,0.0,3.0,2.0,3.0,2.0,0.0,1.0,16.0,12.0
B1,06/10/2019,Club Brugge,Gent,4.0,0.0,H,2.0,0.0,H,1.6,4.0,5.25,1.65,4.1,5.0,2019/20,€160.73m,€95.10m,11.0,15.0,7.0,8.0,5.0,5.0,4.0,3.0,0.0,0.0,16.0,9.0
B1,06/10/2019,Antwerp,Standard,2.0,2.0,D,1.0,0.0,H,2.15,3.4,3.25,2.25,3.7,3.0,2019/20,€49.98m,€76.68m,14.0,9.0,5.0,3.0,5.0,4.0,3.0,2.0,0.0,0.0,15.0,19.0
B1,06/10/2019,Genk,Mouscron,2.0,1.0,H,0.0,0.0,D,1.45,4.33,6.0,1.48,4.75,6.25,2019/20,€113.53m,€26.15m,12.0,7.0,6.0,3.0,1.0,4.0,1.0,2.0,0.0,0.0,12.0,12.0
B1,18/10/2019,Mouscron,Club Brugge,0.0,1.0,A,0.0,1.0,A,7.0,4.75,1.4,7.0,5.0,1.44,2019/20,€26.15m,€160.73m,5.0,11.0,1.0,6.0,4.0,5.0,0.0,1.0,0.0,0.0,13.0,15.0
B1,19/10/2019,Standard,Genk,1.0,0.0,H,0.0,0.0,D,2.1,3.75,3.1,2.3,3.3,3.2,2019/20,€76.68m,€113.53m,10.0,7.0,4.0,2.0,4.0,6.0,2.0,1.0,0.0,0.0,11.0,10.0
B1,19/10/2019,Kortrijk,Waregem,2.0,0.0,H,1.0,0.0,H,2.1,3.8,3.1,2.2,3.9,2.95,2019/20,€19.90m,€30.08m,9.0,7.0,7.0,3.0,11.0,5.0,1.0,4.0,0.0,1.0,10.0,8.0
B1,19/10/2019,Oostende,Eupen,2.0,3.0,A,2.0,1.0,H,2.0,3.6,3.4,2.05,3.7,3.4,2019/20,€23.85m,€26.05m,10.0,10.0,5.0,5.0,11.0,5.0,1.0,3.0,0.0,1.0,8.0,19.0
B1,19/10/2019,Gent,Waasland-Beveren,2.0,0.0,H,1.0,0.0,H,1.18,8.0,11.0,1.22,7.0,12.0,2019/20,€95.10m,€14.93m,11.0,9.0,9.0,2.0,8.0,1.0,1.0,2.0,0.0,0.0,14.0,8.0
B1,20/10/2019,Mechelen,Antwerp,3.0,1.0,H,2.0,1.0,H,3.6,3.6,1.95,3.5,3.8,2.0,2019/20,€23.63m,€49.98m,9.0,8.0,7.0,3.0,6.0,1.0,3.0,3.0,0.0,0.0,12.0,14.0
B1,20/10/2019,Anderlecht,St Truiden,4.0,1.0,H,2.0,0.0,H,1.4,4.75,7.0,1.48,4.75,6.25,2019/20,€137.28m,€26.75m,11.0,8.0,8.0,3.0,3.0,3.0,1.0,2.0,0.0,0.0,10.0,14.0
B1,20/10/2019,Cercle Brugge,Charleroi,0.0,3.0,A,0.0,3.0,A,3.5,3.8,1.95,3.8,3.6,1.95,2019/20,€31.93m,€31.65m,10.0,9.0,4.0,7.0,10.0,2.0,2.0,2.0,0.0,0.0,13.0,12.0
B1,25/10/2019,Eupen,Anderlecht,0.0,0.0,D,0.0,0.0,D,4.2,3.3,1.9,4.0,3.6,1.91,2019/20,€26.05m,€137.28m,10.0,8.0,7.0,2.0,3.0,4.0,4.0,0.0,0.0,0.0,15.0,12.0
B1,26/10/2019,Charleroi,Mouscron,1.0,0.0,H,0.0,0.0,D,1.9,3.4,4.0,1.95,3.7,3.7,2019/20,€31.65m,€26.15m,9.0,9.0,5.0,3.0,1.0,10.0,2.0,2.0,0.0,0.0,11.0,16.0
B1,26/10/2019,Antwerp,Kortrijk,3.0,1.0,H,1.0,0.0,H,1.4,4.5,7.5,1.45,4.4,7.25,2019/20,€49.98m,€19.90m,14.0,7.0,7.0,3.0,6.0,4.0,1.0,1.0,0.0,0.0,8.0,12.0
B1,26/10/2019,Waregem,Oostende,2.0,0.0,H,0.0,0.0,D,1.75,4.0,4.0,1.83,4.1,3.9,2019/20,€30.08m,€23.85m,7.0,5.0,2.0,4.0,4.0,2.0,0.0,1.0,0.0,0.0,12.0,18.0
B1,26/10/2019,Genk,Cercle Brugge,1.0,0.0,H,1.0,0.0,H,1.16,7.0,15.0,1.18,7.5,15.0,2019/20,€113.53m,€31.93m,13.0,11.0,6.0,4.0,8.0,4.0,0.0,2.0,0.0,0.0,7.0,16.0
B1,27/10/2019,Club Brugge,Standard,1.0,1.0,D,0.0,1.0,A,1.45,4.2,6.5,1.48,4.4,7.0,2019/20,€160.73m,€76.68m,9.0,6.0,3.0,2.0,5.0,5.0,1.0,2.0,0.0,0.0,8.0,12.0
B1,27/10/2019,St Truiden,Gent,0.0,0.0,D,0.0,0.0,D,6.0,4.0,1.55,5.75,4.1,1.57,2019/20,€26.75m,€95.10m,8.0,19.0,3.0,6.0,4.0,11.0,0.0,1.0,0.0,0.0,10.0,14.0
B1,27/10/2019,Waasland-Beveren,Mechelen,1.0,3.0,A,0.0,1.0,A,3.4,3.5,2.05,3.1,3.5,2.25,2019/20,€14.93m,€23.63m,8.0,7.0,5.0,2.0,10.0,4.0,2.0,1.0,0.0,0.0,15.0,20.0
B1,29/10/2019,Cercle Brugge,Mouscron,2.0,2.0,D,1.0,1.0,D,2.8,3.6,2.3,3.0,3.5,2.3,2019/20,€31.93m,€26.15m,10.0,4.0,7.0,3.0,4.0,5.0,2.0,4.0,0.0,0.0,19.0,19.0
B1,29/10/2019,Kortrijk,Eupen,1.0,2.0,A,0.0,2.0,A,1.85,4.0,3.6,1.87,3.9,3.9,2019/20,€19.90m,€26.05m,7.0,7.0,2.0,5.0,6.0,2.0,1.0,4.0,0.0,0.0,16.0,16.0
B1,29/10/2019,Oostende,Charleroi,0.0,1.0,A,0.0,0.0,D,3.25,3.4,2.2,3.1,3.5,2.25,2019/20,€23.85m,€31.65m,8.0,7.0,5.0,3.0,6.0,5.0,2.0,1.0,0.0,1.0,15.0,13.0
B1,30/10/2019,Genk,Antwerp,2.0,2.0,D,0.0,1.0,A,1.95,3.6,3.6,2.0,3.6,3.7,2019/20,€113.53m,€49.98m,11.0,13.0,7.0,6.0,7.0,5.0,0.0,4.0,0.0,1.0,13.0,21.0
B1,30/10/2019,Mechelen,St Truiden,1.0,2.0,A,1.0,0.0,H,1.75,4.0,4.2,1.75,4.2,4.2,2019/20,€23.63m,€26.75m,15.0,10.0,5.0,4.0,3.0,7.0,1.0,3.0,0.0,0.0,15.0,14.0
