Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue
SC0,19/02/2005,Motherwell,Hearts,H,2.62,3.25,2.4,2.5,3.2,2.5,2004/5,€4.83m,€11.08m
SC0,20/02/2005,Celtic,Rangers,A,2.2,3.2,3.25,2.15,3.2,3.0,2004/5,€77.55m,€80.78m
SC0,26/02/2005,Rangers,Kilmarnock,H,1.12,7.0,11.0,1.15,6.0,13.0,2004/5,€80.78m,€3.78m
SC0,02/03/2005,Celtic,Dundee,H,1.11,6.5,17.0,1.1,7.0,16.0,2004/5,€77.55m,€9.05m
SC0,02/03/2005,Dundee United,Aberdeen,A,2.25,3.25,2.75,2.35,3.2,2.7,2004/5,€8.13m,€6.88m
SC0,02/03/2005,Dunfermline,Motherwell,D,2.3,3.2,2.7,2.3,3.2,2.75,2004/5,€6.03m,€4.83m
SC0,02/03/2005,Hearts,Rangers,A,7.5,4.0,1.44,8.0,4.05,1.35,2004/5,€11.08m,€80.78m
SC0,02/03/2005,Inverness C,Hibernian,H,2.8,3.25,2.2,2.8,3.2,2.25,2004/5,€2.38m,€13.25m
SC0,02/03/2005,Livingston,Kilmarnock,H,2.7,3.2,2.3,2.75,3.2,2.3,2004/5,€9.75m,€3.78m
SC0,05/03/2005,Dundee,Livingston,A,1.66,3.5,4.5,1.65,3.45,4.6,2004/5,€9.05m,€9.75m
SC0,05/03/2005,Dunfermline,Hearts,D,2.62,3.25,2.4,2.65,3.25,2.35,2004/5,€6.03m,€11.08m
SC0,05/03/2005,Kilmarnock,Aberdeen,A,2.25,3.25,2.8,2.25,3.15,2.85,2004/5,€3.78m,€6.88m
SC0,05/03/2005,Motherwell,Dundee United,H,1.83,3.4,3.75,1.75,3.3,4.2,2004/5,€4.83m,€8.13m
SC0,05/03/2005,Rangers,Inverness C,D,1.1,7.5,17.0,1.1,7.0,16.0,2004/5,€80.78m,€2.38m
SC0,06/03/2005,Hibernian,Celtic,A,7.0,3.75,1.5,7.0,3.55,1.45,2004/5,€13.25m,€77.55m
SC0,12/03/2005,Aberdeen,Hibernian,H,2.3,3.25,2.75,2.25,3.2,2.8,2004/5,€6.88m,€13.25m
SC0,12/03/2005,Celtic,Dunfermline,H,1.1,7.5,17.0,1.1,7.25,15.0,2004/5,€77.55m,€6.03m
SC0,12/03/2005,Hearts,Inverness C,A,1.83,3.4,3.6,1.9,3.4,3.4,2004/5,€11.08m,€2.38m
SC0,12/03/2005,Kilmarnock,Dundee United,H,1.9,3.4,3.5,1.8,3.3,3.9,2004/5,€3.78m,€8.13m
SC0,12/03/2005,Livingston,Motherwell,D,2.5,3.25,2.5,2.5,3.2,2.5,2004/5,€9.75m,€4.83m
SC0,13/03/2005,Dundee,Rangers,A,11.0,5.5,1.25,11.0,5.25,1.2,2004/5,€9.05m,€80.78m
SC0,16/03/2005,Inverness C,Celtic,A,11.0,5.5,1.25,11.0,5.25,1.2,2004/5,€2.38m,€77.55m
SC0,19/03/2005,Aberdeen,Dundee,D,1.57,3.6,5.0,1.55,3.45,5.6,2004/5,€6.88m,€9.05m
SC0,19/03/2005,Dundee United,Celtic,A,13.0,5.5,1.22,11.0,5.25,1.2,2004/5,€8.13m,€77.55m
SC0,19/03/2005,Dunfermline,Hibernian,A,2.62,3.2,2.37,2.65,3.15,2.4,2004/5,€6.03m,€13.25m
SC0,19/03/2005,Hearts,Livingston,H,1.57,3.6,5.0,1.65,3.5,4.5,2004/5,€11.08m,€9.75m
SC0,02/04/2005,Celtic,Hearts,A,1.16,6.0,11.0,1.15,6.25,12.0,2004/5,€77.55m,€11.08m
SC0,02/04/2005,Dundee,Kilmarnock,H,2.3,3.2,2.7,2.4,3.3,2.55,2004/5,€9.05m,€3.78m
SC0,02/04/2005,Hibernian,Dundee United,H,1.5,3.5,6.0,1.5,3.4,6.5,2004/5,€13.25m,€8.13m
SC0,02/04/2005,Inverness C,Aberdeen,A,2.62,3.2,2.37,2.75,3.2,2.3,2004/5,€2.38m,€6.88m
SC0,02/04/2005,Livingston,Dunfermline,D,2.1,3.25,3.0,2.2,3.3,2.8,2004/5,€9.75m,€6.03m
SC0,03/04/2005,Motherwell,Rangers,A,11.0,5.5,1.25,11.0,5.75,1.18,2004/5,€4.83m,€80.78m
SC0,09/04/2005,Aberdeen,Motherwell,A,1.72,3.25,4.33,1.85,3.25,3.75,2004/5,€6.88m,€4.83m
SC0,09/04/2005,Dundee,Dunfermline,H,1.83,3.25,3.75,2.0,3.2,3.35,2004/5,€9.05m,€6.03m
SC0,09/04/2005,Kilmarnock,Inverness C,A,2.0,3.25,3.25,2.0,3.15,3.4,2004/5,€3.78m,€2.38m
SC0,12/04/2005,Inverness C,Motherwell,H,2.25,3.25,2.75,2.25,3.2,2.8,2004/5,€2.38m,€4.83m
SC0,12/04/2005,Rangers,Dundee United,A,1.11,7.0,13.0,1.08,8.0,16.0,2004/5,€80.78m,€8.13m
SC0,13/04/2005,Hearts,Hibernian,A,2.5,3.0,2.62,2.2,3.2,2.9,2004/5,€11.08m,€13.25m
SC0,13/04/2005,Livingston,Celtic,A,10.0,5.5,1.2,13.0,6.0,1.15,2004/5,€9.75m,€77.55m
SC0,16/04/2005,Celtic,Aberdeen,H,1.2,5.5,10.0,1.15,6.0,13.0,2004/5,€77.55m,€6.88m
SC0,16/04/2005,Dundee United,Hearts,H,2.7,3.2,2.3,2.7,3.15,2.35,2004/5,€8.13m,€11.08m
SC0,16/04/2005,Hibernian,Livingston,A,1.57,3.4,5.5,1.5,3.5,6.25,2004/5,€13.25m,€9.75m
SC0,16/04/2005,Inverness C,Dundee,H,1.9,3.25,3.5,1.9,3.25,3.6,2004/5,€2.38m,€9.05m
SC0,16/04/2005,Motherwell,Kilmarnock,D,1.72,3.25,4.33,1.75,3.4,4.05,2004/5,€4.83m,€3.78m
SC0,17/04/2005,Dunfermline,Rangers,A,10.0,5.5,1.2,11.0,5.15,1.2,2004/5,€6.03m,€80.78m
SC0,23/04/2005,Dundee United,Livingston,D,1.9,3.25,3.5,2.05,3.1,3.3,2004/5,€8.13m,€9.75m
SC0,23/04/2005,Dunfermline,Inverness C,D,2.37,3.2,2.62,2.35,3.1,2.75,2004/5,€6.03m,€2.38m
SC0,23/04/2005,Hibernian,Hearts,D,2.25,3.25,2.75,2.1,3.15,3.15,2004/5,€13.25m,€11.08m
SC0,23/04/2005,Kilmarnock,Dundee,H,2.1,3.25,3.0,1.95,3.2,3.5,2004/5,€3.78m,€9.05m
SC0,23/04/2005,Motherwell,Aberdeen,A,2.3,3.2,2.7,2.45,3.1,2.65,2004/5,€4.83m,€6.88m
SC0,24/04/2005,Rangers,Celtic,A,2.5,3.1,2.8,2.45,3.1,2.65,2004/5,€80.78m,€77.55m
SC0,30/04/2005,Celtic,Hibernian,A,1.16,6.0,11.0,1.2,5.5,10.5,2004/5,€77.55m,€13.25m
SC0,30/04/2005,Dundee,Dundee United,A,2.3,3.2,2.7,2.3,3.1,2.8,2004/5,€9.05m,€8.13m
SC0,30/04/2005,Hearts,Motherwell,D,1.72,3.5,4.0,1.85,3.2,3.85,2004/5,€11.08m,€4.83m
SC0,30/04/2005,Inverness C,Kilmarnock,A,1.83,3.25,3.75,1.95,3.25,3.4,2004/5,€2.38m,€3.78m
