Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue
T1,06/02/2010,Eskisehirspor,Buyuksehyr,H,2.15,3.25,3.4,2.0,3.2,3.35,2009/10,€24.70m,€24.00m
T1,06/02/2010,Kayserispor,Galatasaray,D,3.4,3.25,2.15,3.2,3.3,2.05,2009/10,€38.50m,€129.23m
T1,07/02/2010,Ankaragucu,Bursaspor,D,2.8,3.25,2.5,2.75,3.2,2.3,2009/10,€44.70m,€51.75m
T1,07/02/2010,Fenerbahce,Diyarbakirspor,D,1.17,6.5,16.0,1.15,6.0,15.0,2009/10,€119.45m,€17.75m
T1,07/02/2010,Kasimpasa,Antalyaspor,D,2.35,3.3,3.0,2.25,3.2,2.85,2009/10,€20.20m,€23.95m
T1,07/02/2010,Sivasspor,Denizlispor,H,1.67,3.6,5.5,1.65,3.5,4.75,2009/10,€33.65m,€18.35m
T1,07/02/2010,Trabzonspor,Manisaspor,H,1.5,3.75,7.5,1.4,4.0,7.0,2009/10,€66.95m,€19.88m
T1,13/02/2010,Diyarbakirspor,Sivasspor,D,2.4,3.2,2.75,2.4,3.15,2.7,2009/10,€17.75m,€33.65m
T1,13/02/2010,Gaziantepspor,Besiktas,H,3.5,3.25,2.0,3.55,3.25,1.95,2009/10,€32.45m,€93.60m
T1,14/02/2010,Antalyaspor,Eskisehirspor,A,2.25,3.2,3.0,2.2,3.25,2.95,2009/10,€23.95m,€24.70m
T1,14/02/2010,Buyuksehyr,Ankaragucu,D,2.25,3.2,3.0,2.25,3.3,2.8,2009/10,€24.00m,€44.70m
T1,14/02/2010,Denizlispor,Kayserispor,H,4.33,3.4,1.75,4.5,3.4,1.7,2009/10,€18.35m,€38.50m
T1,14/02/2010,Genclerbirligi,Kasimpasa,A,1.75,3.4,4.33,1.75,3.4,4.25,2009/10,€29.00m,€20.20m
T1,14/02/2010,Manisaspor,Fenerbahce,D,4.0,3.4,1.8,4.4,3.3,1.75,2009/10,€19.88m,€119.45m
T1,15/02/2010,Bursaspor,Trabzonspor,D,2.5,3.2,2.63,2.5,3.2,2.55,2009/10,€51.75m,€66.95m
T1,20/02/2010,Eskisehirspor,Genclerbirligi,D,2.2,3.2,3.1,2.15,3.2,3.0,2009/10,€24.70m,€29.00m
T1,20/02/2010,Sivasspor,Manisaspor,H,2.0,3.25,3.5,2.0,3.2,3.35,2009/10,€33.65m,€19.88m
T1,20/02/2010,Trabzonspor,Buyuksehyr,D,1.53,3.6,6.0,1.55,3.65,5.25,2009/10,€66.95m,€24.00m
T1,21/02/2010,Ankaragucu,Antalyaspor,D,2.1,3.25,3.25,2.1,3.25,3.1,2009/10,€44.70m,€23.95m
T1,21/02/2010,Besiktas,Galatasaray,D,2.4,3.2,2.75,2.45,3.35,2.9,2009/10,€93.60m,€129.23m
T1,21/02/2010,Diyarbakirspor,Denizlispor,A,1.7,3.4,4.75,1.6,3.55,5.0,2009/10,€17.75m,€18.35m
T1,21/02/2010,Kasimpasa,Gaziantepspor,H,2.4,3.2,2.75,2.3,3.2,2.8,2009/10,€20.20m,€32.45m
T1,22/02/2010,Fenerbahce,Bursaspor,A,1.53,3.6,6.0,1.5,3.75,5.75,2009/10,€119.45m,€51.75m
T1,26/02/2010,Antalyaspor,Trabzonspor,D,3.5,3.2,2.15,3.5,3.25,1.95,2009/10,€23.95m,€66.95m
T1,27/02/2010,Bursaspor,Sivasspor,H,1.57,3.75,6.0,1.55,3.6,5.5,2009/10,€51.75m,€33.65m
T1,27/02/2010,Kayserispor,Besiktas,A,2.5,3.2,2.88,2.6,3.2,2.45,2009/10,€38.50m,€93.60m
T1,28/02/2010,Buyuksehyr,Fenerbahce,H,4.5,3.5,1.8,4.2,3.4,1.75,2009/10,€24.00m,€119.45m
T1,28/02/2010,Galatasaray,Kasimpasa,H,1.29,5.25,11.0,1.25,5.25,9.0,2009/10,€129.23m,€20.20m
T1,28/02/2010,Gaziantepspor,Eskisehirspor,D,2.3,3.1,3.3,2.2,3.2,2.95,2009/10,€32.45m,€24.70m
T1,28/02/2010,Genclerbirligi,Ankaragucu,A,2.2,3.2,3.4,1.9,3.25,3.65,2009/10,€29.00m,€44.70m
T1,28/02/2010,Manisaspor,Diyarbakirspor,H,2.05,3.2,3.8,2.15,3.2,3.05,2009/10,€19.88m,€17.75m
T1,06/03/2010,Diyarbakirspor,Bursaspor,A,4.5,3.5,1.8,4.1,3.4,1.75,2009/10,€17.75m,€51.75m
T1,06/03/2010,Kasimpasa,Kayserispor,D,2.88,3.3,2.4,3.05,3.2,2.15,2009/10,€20.20m,€38.50m
T1,06/03/2010,Sivasspor,Buyuksehyr,A,2.05,3.3,3.6,2.15,3.2,3.05,2009/10,€33.65m,€24.00m
T1,06/03/2010,Trabzonspor,Genclerbirligi,H,1.62,3.75,5.5,1.65,3.5,4.75,2009/10,€66.95m,€29.00m
